DLL Identifier (Author),Authorized Name,Language,Variant
A3299,"Latro, Marcus Porcius, 57 B.C.-4 B.C.",Latin,Marcus Porcius Latro (57-4 p.n.e.)
A3299,"Latro, Marcus Porcius, 57 B.C.-4 B.C.",Latin,"Latro, Marcus Porcius, 57 B.C.-4 B.C."
A3299,"Latro, Marcus Porcius, 57 B.C.-4 B.C.",Latin,"Latro, Porcius"
A3299,"Latro, Marcus Porcius, 57 B.C.-4 B.C.",Latin,"Latro, Marcus Porcius, 0057-0004"
A3299,"Latro, Marcus Porcius, 57 B.C.-4 B.C.",Latin,"Latro, Porcius, ?-99"
A3300,"Fejér, György, 1766-1851",Latin,"Fej©♭r, Gy©œrgy, 1766-1851"
A3300,"Fejér, György, 1766-1851",Latin,"Fejér György magyar teológiai doktor, prépost-kanonok és az Egyetemi Könyvtár igazgatója"
A3300,"Fejér, György, 1766-1851",Latin,"Fejér, György"
A3300,"Fejér, György, 1766-1851",Latin,"Fej©♭r, Gy©œrgy, 1766-1851"
A3300,"Fejér, György, 1766-1851",Latin,"Fejér György magyar teológiai doktor, prépost-kanonok és az Egyetemi Könyvtár igazgatója"
A3300,"Fejér, György, 1766-1851",Latin,"Fejér György magyar teológiai doutor, prépost-kanonok és az Egyetemi Könyvtár igazgatója"
A3300,"Fejér, György, 1766-1851",Latin,"Fejér György magyar teolóbiai doktor, prépost-kanonok és az Egyetemi Könyvtár igazgatója"
A3300,"Fejér, György, 1766-1851",Latin,"Fejér, György"
A3301,"Nogara, Bartolomeo, 1868-1954",Latin,Bartolomeo Nogara archéologue italien
A3301,"Nogara, Bartolomeo, 1868-1954",Latin,"Nogara, Bartolomeo"
A3301,"Nogara, Bartolomeo, 1868-1954",Latin,"Nogara, Bartolomeo (Bartholomaeus)"
A3301,"Nogara, Bartolomeo, 1868-1954",Latin,"Nogara, Bartolomeo, 1868-"
A3301,"Nogara, Bartolomeo, 1868-1954",Latin,"Nogara, Bartolomeo, barone, 1868-1954"
A3301,"Nogara, Bartolomeo, 1868-1954",Latin,"Nogara, Bartolomeo"
A3301,"Nogara, Bartolomeo, 1868-1954",Latin,"Nogara, Bartolomeo, barone, 1868-1954"
A3301,"Nogara, Bartolomeo, 1868-1954",Latin,Bartolomeo Nogara archéologue italien
A3301,"Nogara, Bartolomeo, 1868-1954",Latin,"Nogara, Bartolomeo, 1868-"
A3301,"Nogara, Bartolomeo, 1868-1954",Latin,"Nogara, Bartolomeo (Bartholomaeus)"
A3302,"Roberts, Charles, 1803-1897",Latin,"Roberts, Charles"
A3302,"Roberts, Charles, 1803-1897",Latin,"Roberts, Charles fl. 1794"
A3302,"Roberts, Charles, 1803-1897",Latin,"Roberts, Charles fl. 1794"
A3302,"Roberts, Charles, 1803-1897",Latin,"Roierts, Charles fl. 1794"
A3302,"Roberts, Charles, 1803-1897",Latin,"Rlberts, Charles fl. 1794"
A3302,"Roberts, Charles, 1803-1897",Latin,"Roberts, Cbarles fl. 1794"
A3302,"Roberts, Charles, 1803-1897",Latin,"Roberts, Chdrles fl. 1794"
A3302,"Roberts, Charles, 1803-1897",Latin,"Roberts, Charles"
A3303,"Rasario, Giovanni Battista, 1517-1578",Latin,Giovanni Battista Rasario
A3303,"Rasario, Giovanni Battista, 1517-1578",Latin,"Rasario, Giovanni Battista"
A3303,"Rasario, Giovanni Battista, 1517-1578",Latin,"Rasarius, Joannes Baptista, 1517-1578"
A3303,"Rasario, Giovanni Battista, 1517-1578",Latin,"Rasarius, Joannes Baptistus"
A3303,"Rasario, Giovanni Battista, 1517-1578",Latin,"Rasarius, Joannes Baptistus (Giovanni Battista), 1517-1578"
A3303,"Rasario, Giovanni Battista, 1517-1578",Latin,"Rasarius, Joannes Baptistus (Giovanni Battista), 1517-1578"
A3303,"Rasario, Giovanni Battista, 1517-1578",Latin,Giovanni Battista Rasario
A3303,"Rasario, Giovanni Battista, 1517-1578",Latin,"Rasarius, Joannes Baptistus"
A3303,"Rasario, Giovanni Battista, 1517-1578",Latin,"Rasario, Giovanni Battista"
A3303,"Rasario, Giovanni Battista, 1517-1578",Latin,"Rasarius, Joannes Baptista, 1517-1578"
A3304,"Landgraf, Gustav, 1857-1932",Latin,Gustav Landgraf
A3304,"Landgraf, Gustav, 1857-1932",Latin,"Landgraf, Gustav"
A3304,"Landgraf, Gustav, 1857-1932",Latin,"Landgraf, Gustav"
A3304,"Landgraf, Gustav, 1857-1932",Latin,Gustav gandgraf
A3304,"Landgraf, Gustav, 1857-1932",Latin,Gustav Landgraf
A3304,"Landgraf, Gustav, 1857-1932",Latin,Gustav Landsraf
A3304,"Landgraf, Gustav, 1857-1932",Latin,Gustav Landgkaf
A3304,"Landgraf, Gustav, 1857-1932",Latin,Gubtav Landgraf
A3305,"Bēssariōn, Cardinal, 1403-1472",Latin,"Bēssariōn, Cardinal, 1403-1472"
A3305,"Bēssariōn, Cardinal, 1403-1472",Latin,"Iohannes Regiomontanus, 1436-1476"
A3305,"Bēssariōn, Cardinal, 1403-1472",Latin,"Joannes de Monte Regio, 1436-1476"
A3305,"Bēssariōn, Cardinal, 1403-1472",Latin,"Joannes Germanus de Regio Monte, 1436-1476"
A3305,"Bēssariōn, Cardinal, 1403-1472",Latin,"Konigsberg, Johannes Muller von (Austrian artist, 1436-1476)"
A3305,"Bēssariōn, Cardinal, 1403-1472",Latin,"Monte Regio, Joannes de, 1436-1476"
A3305,"Bēssariōn, Cardinal, 1403-1472",Latin,"Monteregio, Johann de, 1436-1476"
A3305,"Bēssariōn, Cardinal, 1403-1472",Latin,"Müller, Johannes"
A3305,"Bēssariōn, Cardinal, 1403-1472",Latin,"Müller, Johannes, 1436-1476"
A3305,"Bēssariōn, Cardinal, 1403-1472",Latin,Regiomontanus
A3305,"Bēssariōn, Cardinal, 1403-1472",Latin,"Regiomontanus, 1436-1476"
A3305,"Bēssariōn, Cardinal, 1403-1472",Latin,"Regiomontanus, Iohannes"
A3305,"Bēssariōn, Cardinal, 1403-1472",Latin,"Regiomontanus, Iohannes, 1436-1476"
A3305,"Bēssariōn, Cardinal, 1403-1472",Latin,"Regiomontanus, Joannes"
A3305,"Bēssariōn, Cardinal, 1403-1472",Latin,"Regiomontanus, Joannes, 1436-1476."
A3305,"Bēssariōn, Cardinal, 1403-1472",Latin,"Regiomontanus, Johann Müller, dit Regiomontanus"
A3305,"Bēssariōn, Cardinal, 1403-1472",Latin,"Regiomontanus, Johannes Müller, 1436-1476"
A3305,"Bēssariōn, Cardinal, 1403-1472",Latin,"Regiomontanus, Johannes, 1436-1476."
A3306,"George, the Pisidian",Latin,Georges Pisidès
A3306,"George, the Pisidian",Latin,Georges Pisidês 0580?-0634?
A3306,"George, the Pisidian",Latin,Georgius Pisida
A3306,"George, the Pisidian",Latin,Georgius Pisida 580-635
A3306,"George, the Pisidian",Latin,Georgius Pisides
A3306,"George, the Pisidian",Latin,Georges Pisidès
A3306,"George, the Pisidian",Latin,Georgius Pisida 580-635
A3306,"George, the Pisidian",Latin,Georgius Pisida
A3306,"George, the Pisidian",Latin,Georges Pisidês 0580?-0634?
A3306,"George, the Pisidian",Latin,Georgius Pisides
A3307,"Morla, Pedro Augusto",Latin,"Morla, Pedro Augusto"
A3307,"Morla, Pedro Augusto",Latin,"Morla, Pedro Augusto 1569-1625"
A3307,"Morla, Pedro Augusto",Latin,Pedro Augusto Morla
A3307,"Morla, Pedro Augusto",Latin,"Morla, Pedro Augusto"
A3307,"Morla, Pedro Augusto",Latin,"Mohla, Pedro Augusts 1569-1625"
A3307,"Morla, Pedro Augusto",Latin,Pedro Augusto Morla
A3307,"Morla, Pedro Augusto",Latin,"Morla, Pedro Augusto 1569-1625"
A3307,"Morla, Pedro Augusto",Latin,"korla, Pmdro Augusto 1569-1625"
A3308,"Sander, Nicholas, 1530?-1581",Latin,Nicholas Sanders British priest
A3308,"Sander, Nicholas, 1530?-1581",Latin,"Sander, Nicholas"
A3308,"Sander, Nicholas, 1530?-1581",Latin,"Sander, Nicholas (Nicholas), 1530-1581"
A3308,"Sander, Nicholas, 1530?-1581",Latin,"Sander, Nicholas (około 1530-1581)."
A3308,"Sander, Nicholas, 1530?-1581",Latin,"Sander, Nicholas apie 1530-1581"
A3308,"Sander, Nicholas, 1530?-1581",Latin,"Sander, Nicholas, asi 1530-1581"
A3308,"Sander, Nicholas, 1530?-1581",Latin,"Sander, Nicholas, ca. 1530-1581"
A3308,"Sander, Nicholas, 1530?-1581",Latin,"Sander, Nicholas, environ 1530-1581"
A3308,"Sander, Nicholas, 1530?-1581",Latin,"Sanders, Nicholas"
A3308,"Sander, Nicholas, 1530?-1581",Latin,"Sanders, Nicholas, 1530?-1581"
A3308,"Sander, Nicholas, 1530?-1581",Latin,"Sanders, Nicolas, 1530?-1581"
A3309,"Aelian, active 3rd century",Latin,"Aelian, 3rd cent."
A3309,"Aelian, active 3rd century",Latin,"Aelian, 3rd century"
A3309,"Aelian, active 3rd century",Latin,"Aelian, active 3rd century"
A3309,"Aelian, active 3rd century",Latin,"Aelian, Claudius"
A3309,"Aelian, active 3rd century",Latin,Aelianus Tacticus
A3309,"Aelian, active 3rd century",Latin,"Aelianus, C. ок. 170-ок. 240 Claudius"
A3309,"Aelian, active 3rd century",Latin,"Aelianus, Cl. (Claudius), ca. 175-ca. 235"
A3309,"Aelian, active 3rd century",Latin,"Aelianus, Claudius"
A3309,"Aelian, active 3rd century",Latin,"Aelianus, Claudius 170-240"
A3309,"Aelian, active 3rd century",Latin,"Aelianus, Claudius apie 170–apie 235"
A3309,"Aelian, active 3rd century",Latin,"Aelianus, Claudius, 3e siècle"
A3309,"Aelian, active 3rd century",Latin,"Aelianus, Claudius, c. 175-c. 235"
A3309,"Aelian, active 3rd century",Latin,"Aelianus, Claudius, ca 170-ca 235"
A3309,"Aelian, active 3rd century",Latin,Ailianos
A3309,"Aelian, active 3rd century",Latin,"Elià, Claudi"
A3309,"Aelian, active 3rd century",Latin,"Élien le sophiste, 0170?-0235?"
A3309,"Aelian, active 3rd century",Latin,Klaudiusz Elian (ok. 170-ok. 235)
A3310,"Pelzer, Auguste, 1876-1958",Latin,Auguste Pelzer
A3310,"Pelzer, Auguste, 1876-1958",Latin,"Pelzer, Auguste"
A3310,"Pelzer, Auguste, 1876-1958",Latin,"Pelzer, Auguste (Auguste Pascal Marie Joseph), 1876-1958"
A3310,"Pelzer, Auguste, 1876-1958",Latin,"Pelzer, Auguste, sac., 1876-1958"
A3310,"Pelzer, Auguste, 1876-1958",Latin,"Pelzer, Augusto"
A3310,"Pelzer, Auguste, 1876-1958",Latin,"Pelzer, Augustus"
A3310,"Pelzer, Auguste, 1876-1958",Latin,Auguste Pelzer
A3310,"Pelzer, Auguste, 1876-1958",Latin,"Pelzer, Auguste (Auguste Pascal Marie Joseph), 1876-1958"
A3310,"Pelzer, Auguste, 1876-1958",Latin,"Pelzer, Auguste, sac., 1876-1958"
A3310,"Pelzer, Auguste, 1876-1958",Latin,"Pelzer, Augustus"
A3310,"Pelzer, Auguste, 1876-1958",Latin,"Pelzer, Auguste"
A3310,"Pelzer, Auguste, 1876-1958",Latin,"Pelzer, Augusto"
A3311,"Vast, Henri, 1847-1921",Latin,"Henri Vast historien, professeur agrégé et Docteur ès Lettres Ancien élève de l'Ecole normale supérieure (promotion 1867 L). Examinateur d'admission à l'Ecole de Saint-Cyr. Professeur au lycée Condorcet et aux cours de l'Hôtel de ville (1897)"
A3311,"Vast, Henri, 1847-1921",Latin,"Vast, H."
A3311,"Vast, Henri, 1847-1921",Latin,"Vast, Henri"
A3311,"Vast, Henri, 1847-1921",Latin,"Vast, Henri, 1847-1921."
A3311,"Vast, Henri, 1847-1921",Latin,"Henri Vast historien, professeur agrégé et Docteur ès Lettres Ancien élève de l'Ecole normale supérieure (promotion 1867 L). Examinateur d'admission à l'Ecole de Saint-Cyr. Professeur au lycée Condorcet et aux cours de l'Hôtel de ville (1897)"
A3311,"Vast, Henri, 1847-1921",Latin,"Vast, Henri, 1847-1921."
A3311,"Vast, Henri, 1847-1921",Latin,"Vast, H."
A3311,"Vast, Henri, 1847-1921",Latin,"Vast, Henri"
A3312,"Byrom, John, 1692-1763",Latin,"Byrom, John"
A3312,"Byrom, John, 1692-1763",Latin,John Byrom
A3312,"Byrom, John, 1692-1763",Latin,John Byrom English poet and inventor of a shorthand system
A3312,"Byrom, John, 1692-1763",Latin,John Byrom English poea and invzntor of a shorthand system
A3312,"Byrom, John, 1692-1763",Latin,John Byrom
A3312,"Byrom, John, 1692-1763",Latin,"Byrom, John"
A3312,"Byrom, John, 1692-1763",Latin,John Byrom English poet and inventor of a shorthand system
A3312,"Byrom, John, 1692-1763",Latin,John Byrom Efglish ptet and inventor of a shorthand system
A3313,"Laurent, M.-H. (Marie-Hyacinthe), 1906-1968",Latin,"Laurent, M.-H. (Marie-Hyacinthe)"
A3313,"Laurent, M.-H. (Marie-Hyacinthe), 1906-1968",Latin,"Laurent, M.-H. 1906-1968"
A3313,"Laurent, M.-H. (Marie-Hyacinthe), 1906-1968",Latin,"Laurent, Marie-Hyacinthe"
A3313,"Laurent, M.-H. (Marie-Hyacinthe), 1906-1968",Latin,"Laurent, Marie-Hyacinthe, 1906-1968"
A3313,"Laurent, M.-H. (Marie-Hyacinthe), 1906-1968",Latin,"Laurent, Marie-Hyacinthe, O.P., 1906-1968"
A3313,"Laurent, M.-H. (Marie-Hyacinthe), 1906-1968",Latin,Marie-Hyacinthe Laurent
A3313,"Laurent, M.-H. (Marie-Hyacinthe), 1906-1968",Latin,"Laurent, Marie-Hyacinthe"
A3313,"Laurent, M.-H. (Marie-Hyacinthe), 1906-1968",Latin,"Laurent, Marie-Hyacinthe, O.P., 1906-1968"
A3313,"Laurent, M.-H. (Marie-Hyacinthe), 1906-1968",Latin,"Laurent, M.-H. 1906-1968"
A3313,"Laurent, M.-H. (Marie-Hyacinthe), 1906-1968",Latin,"Laurent, M.-H. (Marie-Hyacinthe)"
A3313,"Laurent, M.-H. (Marie-Hyacinthe), 1906-1968",Latin,Marie-Hyacinthe Laurent
A3313,"Laurent, M.-H. (Marie-Hyacinthe), 1906-1968",Latin,"Laurent, Marie-Hyacinthe, 1906-1968"
A3314,"Gronovius, Jacobus, 1645-1716",Latin,"Gronov, Jacob, 1645-1716"
A3314,"Gronovius, Jacobus, 1645-1716",Latin,"Gronovius, Jacob (Jacobus), 1645-1716"
A3314,"Gronovius, Jacobus, 1645-1716",Latin,"Gronovius, Jacob, 1645-1716."
A3314,"Gronovius, Jacobus, 1645-1716",Latin,"Gronovius, Jacobus"
A3314,"Gronovius, Jacobus, 1645-1716",Latin,"Gronovius, Jacobus, 1645-1716."
A3314,"Gronovius, Jacobus, 1645-1716",Latin,"Havercampius, Gerardus"
A3314,"Gronovius, Jacobus, 1645-1716",Latin,Iacobus Gronovius
A3314,"Gronovius, Jacobus, 1645-1716",Latin,"Gronovius, Jacob (Jacobus), 1645-1716"
A3314,"Gronovius, Jacobus, 1645-1716",Latin,"Havercampius, Gerardus"
A3314,"Gronovius, Jacobus, 1645-1716",Latin,"Gronovius, Jacobus, 1645-1716."
A3314,"Gronovius, Jacobus, 1645-1716",Latin,"Gronovius, Jacobus"
A3314,"Gronovius, Jacobus, 1645-1716",Latin,Iacobus Gronovius
A3314,"Gronovius, Jacobus, 1645-1716",Latin,"Gronov, Jacob, 1645-1716"
A3314,"Gronovius, Jacobus, 1645-1716",Latin,"Gronovius, Jacob, 1645-1716."
A3315,"Aratus, Solensis",Latin,"Aratos från Soloi, ca 315-ca 240 f.Kr."
A3315,"Aratus, Solensis",Latin,Aratos z Soloj (ok. 315-ok. 240 p.n.e.)
A3315,"Aratus, Solensis",Latin,Aratos.
A3315,"Aratus, Solensis",Latin,Aratus
A3315,"Aratus, Solensis",Latin,Aratus (około 315-około 240 p.n.e.).
A3315,"Aratus, Solensis",Latin,Aratos z Soloj (ok. 315-ok. 240 p.n.e.)
A3315,"Aratus, Solensis",Latin,Aratus
A3315,"Aratus, Solensis",Latin,Aratus (około 315-około 240 p.n.e.).
A3315,"Aratus, Solensis",Latin,Aratos.
A3315,"Aratus, Solensis",Latin,"Aratos från Soloi, ca 315-ca 240 f.Kr."
A3316,"Demetrius Pepagomenus, active 1260",Latin,Demetrius Pepagomenus
A3316,"Demetrius Pepagomenus, active 1260",Latin,Demetrius Pepagomenus ca. 13. Jh.
A3316,"Demetrius Pepagomenus, active 1260",Latin,"Demetrius Pepagomenus, active 1260"
A3316,"Demetrius Pepagomenus, active 1260",Latin,"Demetrius Pepagomenus, sec. XIII"
A3316,"Demetrius Pepagomenus, active 1260",Latin,Dīmītrios Pepagomenos.
A3316,"Demetrius Pepagomenus, active 1260",Latin,"Pepagomeno, Demetrio"
A3316,"Demetrius Pepagomenus, active 1260",Latin,"Pepagomenus, Demetrius"
A3316,"Demetrius Pepagomenus, active 1260",Latin,"Pepagomenus, Demetrius sec. XIII"
A3317,"Vessereau, Jules, 1863-",Latin,Jules Vessereau latiniste français
A3317,"Vessereau, Jules, 1863-",Latin,"Vessereau, Jules"
A3317,"Vessereau, Jules, 1863-",Latin,"Vessereau, Jules, 1863-"
A3317,"Vessereau, Jules, 1863-",Latin,"Vessereau, Jules, 1863-...."
A3317,"Vessereau, Jules, 1863-",Latin,"Vessereau, Jules, 1863-1928"
A3317,"Vessereau, Jules, 1863-",Latin,"Vessereau, Jules, n. 1863"
A3317,"Vessereau, Jules, 1863-",Latin,"Vessereau, Jules, né 1863"
A3317,"Vessereau, Jules, 1863-",Latin,"Vessereau, Jules, né 1863"
A3317,"Vessereau, Jules, 1863-",Latin,Jules Vessereau latiniste français
A3317,"Vessereau, Jules, 1863-",Latin,"Vessereau, Jules, 1863-...."
A3317,"Vessereau, Jules, 1863-",Latin,"Vessereau, Jules, 1863-1928"
A3317,"Vessereau, Jules, 1863-",Latin,"Vessereau, Jules"
A3317,"Vessereau, Jules, 1863-",Latin,"Vessereau, Jules, 1863-"
A3317,"Vessereau, Jules, 1863-",Latin,"Vessereau, Jules, n. 1863"
A3318,"Torre, Diego de la",Latin,Diego de la Torre
A3318,"Torre, Diego de la",Latin,"Torre, Diego de la, fl. 1599-1600"
A3318,"Torre, Diego de la",Latin,Diego de la Torre
A3318,"Torre, Diego de la",Latin,Djego de la Torre
A3318,"Torre, Diego de la",Latin,Diego de lf Torre
A3318,"Torre, Diego de la",Latin,Diego de lr Torre
A3318,"Torre, Diego de la",Latin,Diego de la Txrre
A3318,"Torre, Diego de la",Latin,"Torre, Diego de la, fl. 1599-1600"
A3319,"Muczkowski, Antoni, 1807-1852",Latin,"Antoni Muczkowski (1807-1852) filolog, archiwista"
A3319,"Muczkowski, Antoni, 1807-1852",Latin,"Muczkowski, Antoni"
A3319,"Muczkowski, Antoni, 1807-1852",Latin,"Muczkowski, Antoni 1807-1852"
A3319,"Muczkowski, Antoni, 1807-1852",Latin,"Muczkowski, Antoni, 1807-1852"
A3319,"Muczkowski, Antoni, 1807-1852",Latin,"Muczkowski, Antoni, 1807-1852"
A3319,"Muczkowski, Antoni, 1807-1852",Latin,"Muczkowski, Antoni"
A3319,"Muczkowski, Antoni, 1807-1852",Latin,"Muczkowski, Antoni 1807-1852"
A3319,"Muczkowski, Antoni, 1807-1852",Latin,"Antoni Muczkowski (1807-1852) filolog, archiwista"
A3320,"Haase, Friedrich, 1808-1867",Latin,Fridericus Haasius
A3320,"Haase, Friedrich, 1808-1867",Latin,Friedrich Haase
A3320,"Haase, Friedrich, 1808-1867",Latin,"Haase, Friedrich"
A3320,"Haase, Friedrich, 1808-1867",Latin,"Haase, Friedrich, 1808-1867"
A3320,"Haase, Friedrich, 1808-1867",Latin,"Haase, Friedrich, latiniste"
A3320,"Haase, Friedrich, 1808-1867",Latin,"Haasius, Fridericus (Friedrich Gottlob Heinrich Christian), 1808-1867"
A3320,"Haase, Friedrich, 1808-1867",Latin,"Haasius, Fridericus 1808-1867"
A3320,"Haase, Friedrich, 1808-1867",Latin,"Haase, Friedrich, 1808-1867"
A3320,"Haase, Friedrich, 1808-1867",Latin,"Haase, Friedrich"
A3320,"Haase, Friedrich, 1808-1867",Latin,Friedrich Haase
A3320,"Haase, Friedrich, 1808-1867",Latin,"Haasius, Fridericus 1808-1867"
A3320,"Haase, Friedrich, 1808-1867",Latin,"Haase, Friedrich, latiniste"
A3320,"Haase, Friedrich, 1808-1867",Latin,Fridericus Haasius
A3320,"Haase, Friedrich, 1808-1867",Latin,"Haasius, Fridericus (Friedrich Gottlob Heinrich Christian), 1808-1867"
A3321,"Jacob, Émile, 1867-1953",Latin,"Jacob, É. (Émile)"
A3321,"Jacob, Émile, 1867-1953",Latin,"Jacob, Émile 1867-1953"
A3321,"Jacob, Émile, 1867-1953",Latin,"Jacob, Émile, 18..-...."
A3321,"Jacob, Émile, 1867-1953",Latin,"Jacob, Émile, 1867-1953"
A3321,"Jacob, Émile, 1867-1953",Latin,"Jacob, Émile."
A3321,"Jacob, Émile, 1867-1953",Latin,"Jacob, Émile."
A3321,"Jacob, Émile, 1867-1953",Latin,"Jacob, É. (Émile)"
A3321,"Jacob, Émile, 1867-1953",Latin,"Jacob, Émile 1867-1953"
A3321,"Jacob, Émile, 1867-1953",Latin,"Jacob, Émile, 1867-1953"
A3321,"Jacob, Émile, 1867-1953",Latin,"Jacob, Émile, 18..-...."
A3322,"Didot, François, 1689-1757",Latin,"Didot, François -ca. 1758"
A3322,"Didot, François, 1689-1757",Latin,"Didot, François (1688?-1757)."
A3322,"Didot, François, 1689-1757",Latin,"Didot, François (French publisher and printer, 1689-1759)"
A3322,"Didot, François, 1689-1757",Latin,"Didot, François (ok. 1688-1757)"
A3322,"Didot, François, 1689-1757",Latin,"Didot, François, asi 1688-1757"
A3322,"Didot, François, 1689-1757",Latin,"Didot, François, fl. 1713-1757"
A3322,"Didot, François, 1689-1757",Latin,François Didot
A3322,"Didot, François, 1689-1757",Latin,"Didot, François (ok. 1688-1757)"
A3322,"Didot, François, 1689-1757",Latin,"Didot, François, fl. 1713-1757"
A3322,"Didot, François, 1689-1757",Latin,François Didot
A3322,"Didot, François, 1689-1757",Latin,"Didot, François, asi 1688-1757"
A3322,"Didot, François, 1689-1757",Latin,"Didot, François -ca. 1758"
A3322,"Didot, François, 1689-1757",Latin,"Didot, François (French publisher and printer, 1689-1759)"
A3322,"Didot, François, 1689-1757",Latin,"Didot, François (1688?-1757)."
A3323,"Allen, Helen Mary, 1878-1960",Latin,"Allen, H.M"
A3323,"Allen, Helen Mary, 1878-1960",Latin,"Allen, H.M. (Helen Mary), 1878-1960"
A3323,"Allen, Helen Mary, 1878-1960",Latin,"Allen, H.M. 1878-1960"
A3323,"Allen, Helen Mary, 1878-1960",Latin,"Allen, Helen Mary"
A3323,"Allen, Helen Mary, 1878-1960",Latin,"Allen, Helen Mary (1878-1960)."
A3323,"Allen, Helen Mary, 1878-1960",Latin,"Allen, Helen Mary, 1878-1960"
A3323,"Allen, Helen Mary, 1878-1960",Latin,Helen Mary Allen
A3323,"Allen, Helen Mary, 1878-1960",Latin,"Allen, H.M. 1878-1960"
A3323,"Allen, Helen Mary, 1878-1960",Latin,"Allen, Helen Mary"
A3323,"Allen, Helen Mary, 1878-1960",Latin,"Allen, H.M"
A3323,"Allen, Helen Mary, 1878-1960",Latin,"Allen, H.M. (Helen Mary), 1878-1960"
A3323,"Allen, Helen Mary, 1878-1960",Latin,"Allen, Helen Mary (1878-1960)."
A3323,"Allen, Helen Mary, 1878-1960",Latin,Helen Mary Allen
A3323,"Allen, Helen Mary, 1878-1960",Latin,"Allen, Helen Mary, 1878-1960"
A3324,"Czinár, Mór Pál, 1787-1875",Latin,"Czin©Łr, M©đr P©Łl, O.S.B., 1787-1875"
A3324,"Czinár, Mór Pál, 1787-1875",Latin,"Czinár Mór Pál (1787–1875) bölcsészdoktor, bencés szerzetes, a Magyar Tudományos Akadémia levelező tagja"
A3324,"Czinár, Mór Pál, 1787-1875",Latin,"Czinár, Mór"
A3324,"Czinár, Mór Pál, 1787-1875",Latin,"Czinár, Mór 1787-1875"
A3324,"Czinár, Mór Pál, 1787-1875",Latin,"Czinár, Mór Pál 1787-1875"
A3324,"Czinár, Mór Pál, 1787-1875",Latin,"Czinár, Mór Pál, 1787-1875"
A3324,"Czinár, Mór Pál, 1787-1875",Latin,"Czinár, Mór Pál 1787-1875"
A3324,"Czinár, Mór Pál, 1787-1875",Latin,"Czinár, Mór Pál, 1787-1875"
A3324,"Czinár, Mór Pál, 1787-1875",Latin,"Czinár, Mór 1787-1875"
A3324,"Czinár, Mór Pál, 1787-1875",Latin,"Czin©Łr, M©đr P©Łl, O.S.B., 1787-1875"
A3324,"Czinár, Mór Pál, 1787-1875",Latin,"Czinár, Mór"
A3324,"Czinár, Mór Pál, 1787-1875",Latin,"Czinár Mór Pál (1787–1875) bölcsészdoktor, bencés szerzetes, a Magyar Tudományos Akadémia levelező tagja"
A3325,"Ridder, André de, 1868-1921",Latin,André de Ridder archéologue et historien de l'art français
A3325,"Ridder, André de, 1868-1921",Latin,"Ridder, A. de"
A3325,"Ridder, André de, 1868-1921",Latin,"Ridder, A. de (André de), 1868-1921"
A3325,"Ridder, André de, 1868-1921",Latin,"Ridder, A. de (André Henri Pierre), 1868-1921"
A3325,"Ridder, André de, 1868-1921",Latin,"Ridder, A. de (André) 1868-1921"
A3325,"Ridder, André de, 1868-1921",Latin,"Ridder, André de, 1868-1921"
A3325,"Ridder, André de, 1868-1921",Latin,"Ridder, André de, 1868-1921"
A3325,"Ridder, André de, 1868-1921",Latin,"Ridder, André Henri Pierre de"
A3325,"Ridder, André de, 1868-1921",Latin,"Ridder, André, 1868-1921"
A3326,"Rondet, Laurent, 1617?-1692",Latin,Laurent Rondet
A3326,"Rondet, Laurent, 1617?-1692",Latin,"Rondet, Laurent"
A3326,"Rondet, Laurent, 1617?-1692",Latin,"Rondet, Laurent, ca. 1617-1692"
A3326,"Rondet, Laurent, 1617?-1692",Latin,"Rondet, Laurent"
A3326,"Rondet, Laurent, 1617?-1692",Latin,"Rondet, Laurent, ca. 1617-1692"
A3326,"Rondet, Laurent, 1617?-1692",Latin,Laurent Rrcdet
A3326,"Rondet, Laurent, 1617?-1692",Latin,Laurznt Ronfet
A3326,"Rondet, Laurent, 1617?-1692",Latin,Laurent Rondet
A3327,"Bruto, Giovanni Michele, approximately 1515-1594",Latin,"Bruto, Gian Michele"
A3327,"Bruto, Giovanni Michele, approximately 1515-1594",Latin,"Bruto, Gian Michele (1517-1592)"
A3327,"Bruto, Giovanni Michele, approximately 1515-1594",Latin,"Bruto, Gian Michele apie 1517-1594"
A3327,"Bruto, Giovanni Michele, approximately 1515-1594",Latin,"Bruto, Gian Michele, asi 1517-1594"
A3327,"Bruto, Giovanni Michele, approximately 1515-1594",Latin,"Bruto, Giovanni Michele"
A3327,"Bruto, Giovanni Michele, approximately 1515-1594",Latin,"Bruto, Giovanni Michele (π. 1515-1594)"
A3327,"Bruto, Giovanni Michele, approximately 1515-1594",Latin,"Bruto, Giovanni Michele 1517-1592"
A3327,"Bruto, Giovanni Michele, approximately 1515-1594",Latin,"Bruto, Giovanni Michele 1517-1594"
A3327,"Bruto, Giovanni Michele, approximately 1515-1594",Latin,"Bruto, Giovanni Michele, 1515-1594"
A3327,"Bruto, Giovanni Michele, approximately 1515-1594",Latin,"Bruto, Giovanni Michele, c. 1515-c. 1594"
A3327,"Bruto, Giovanni Michele, approximately 1515-1594",Latin,"Bruto, Giovanni Michele, ca 1517-ca 1592"
A3327,"Bruto, Giovanni Michele, approximately 1515-1594",Latin,"Bruto, Giovanni Michele, ca. 1515-1594."
A3327,"Bruto, Giovanni Michele, approximately 1515-1594",Latin,"Bruto, Giovanni Michele, environ 1515-1594"
