"Variant","Authorized Name","DLL Identifier (Author)"
"gelzer, heinrich","gelzer, heinrich, 1847-1906","A3242"
"gelzer, heinrich (heinrich karl guido), 1847-1906","gelzer, heinrich, 1847-1906","A3242"
"gelzer, heinrich karl guido, 1847-1906","gelzer, heinrich, 1847-1906","A3242"
"gelzer, johann heinrich","gelzer, heinrich, 1847-1906","A3242"
"heinrich gelzer","gelzer, heinrich, 1847-1906","A3242"
"hipolit (święty","hippolytus, antipope, approximately 170-235 or 236","A3243"
"ok. 170-235)","hippolytus, antipope, approximately 170-235 or 236","A3243"
"około 170-235).","hippolytus, antipope, approximately 170-235 or 236","A3243"
"hipólito, santo","hippolytus, antipope, approximately 170-235 or 236","A3243"
"hippolyte ca 170-235 ou 6 saint","hippolytus, antipope, approximately 170-235 or 236","A3243"
"hippolyte, 017.?-0235, saint","hippolytus, antipope, approximately 170-235 or 236","A3243"
"hippolytos, helgon, ca 170-ca 235","hippolytus, antipope, approximately 170-235 or 236","A3243"
"hippolytos, svatý, asi 170-235","hippolytus, antipope, approximately 170-235 or 236","A3243"
"hippolytus : romanus","hippolytus, antipope, approximately 170-235 or 236","A3243"
"hippolytus antipave","hippolytus, antipope, approximately 170-235 or 236","A3243"
"hippolytus romanus, protupapa","hippolytus, antipope, approximately 170-235 or 236","A3243"
"hippolytus, antipope, approximately 170-235 or 236","hippolytus, antipope, approximately 170-235 or 236","A3243"
"hippolytus, s., m. 235","hippolytus, antipope, approximately 170-235 or 236","A3243"
"hippolytus, saint","hippolytus, antipope, approximately 170-235 or 236","A3243"
"rome, hippolyte de","hippolytus, antipope, approximately 170-235 or 236","A3243"
"carter, jesse benedict","carter, jesse benedict, 1872-1917","A3244"
"jesse benedict carter american classical philologist and religious studies scholar","carter, jesse benedict, 1872-1917","A3244"
"jesse benedict carter amerpcak classical philologist and religious studies scholar","carter, jesse benedict, 1872-1917","A3244"
"jesse benedict carter american classical phalologist and religious studies scholar","carter, jesse benedict, 1872-1917","A3244"
"jesse bcnedict cartec american classical philologist and religious studies scholar","carter, jesse benedict, 1872-1917","A3244"
"jesse benedict cartes american classical philologist and religious studies scholar","carter, jesse benedict, 1872-1917","A3244"
"alexander lycopolitanus, sec. iv","alexander, of lycopolis","A3245"
"alexander lycopolitanus.","alexander, of lycopolis","A3245"
"alexander, lycopolitanus, ca. 300","alexander, of lycopolis","A3245"
"alexandre de lycopolis, 02..-03..","alexander, of lycopolis","A3245"
"alexandre, de lycopolis","alexander, of lycopolis","A3245"
"kurt wachsmuth","wachsmuth, curt, 1837-1905","A3246"
"wachsmuth, c.","wachsmuth, curt, 1837-1905","A3246"
"wachsmuth, curt","wachsmuth, curt, 1837-1905","A3246"
"wachsmuth, kurt","wachsmuth, curt, 1837-1905","A3246"
"wachsmuth, kurt, 1837-1905","wachsmuth, curt, 1837-1905","A3246"
"stangl, thomas 1854-1922","stangl, thomas, 1854-1921","A3247"
"thomas stangl","stangl, thomas, 1854-1921","A3247"
"thomas stangl philologue allemand","stangl, thomas, 1854-1921","A3247"
"ehomas stangl philologue allemand","stangl, thomas, 1854-1921","A3247"
"thomas stangl philolwgue allemand","stangl, thomas, 1854-1921","A3247"
"karl preisendanz","preisendanz, karl, 1883-1968","A3248"
"preisendanz, karl","preisendanz, karl, 1883-1968","A3248"
"preisendanz, karl (karl lebrecht), 1883-1968","preisendanz, karl, 1883-1968","A3248"
"preisendanz, karl lebrecht","preisendanz, karl, 1883-1968","A3248"
"preisendanz, karl, 1838-1968","preisendanz, karl, 1883-1968","A3248"
"preisendanz, karl, 1883-1966","preisendanz, karl, 1883-1968","A3248"
"charles henri graux","graux, charles henri, 1852-1882","A3249"
"graux, ch 1852-1882","graux, charles henri, 1852-1882","A3249"
"graux, ch. (charles), 1852-1882","graux, charles henri, 1852-1882","A3249"
"graux, charles","graux, charles henri, 1852-1882","A3249"
"graux, charles, 1852-1882","graux, charles henri, 1852-1882","A3249"
"cebes de tebes","cebes, of thebes","A3250"
"cébès de thèbes","cebes, of thebes","A3250"
"cébès de thèbes 0001?-0100?","cebes, of thebes","A3250"
"cebes thebanus","cebes, of thebes","A3250"
"cebes thebanus, sec. i","cebes, of thebes","A3250"
"cebes, of thebes","cebes, of thebes","A3250"
"cebes, of thebes","cebes, of thebes","A3250"
"kebes teebast, 1. saj.","cebes, of thebes","A3250"
"hamaker, h. a. (hendrik arent)","hamaker, h. a. (hendrik arent), 1789-1835","A3251"
"hamaker, h. a. 1789-1835","hamaker, h. a. (hendrik arent), 1789-1835","A3251"
"hamaker, h.a. (hendrik arrent), 1789-1835","hamaker, h. a. (hendrik arent), 1789-1835","A3251"
"hamaker, hendrik arend","hamaker, h. a. (hendrik arent), 1789-1835","A3251"
"hamaker, hendrik arent","hamaker, h. a. (hendrik arent), 1789-1835","A3251"
"hamaker, hendrik arent, 1789-1835","hamaker, h. a. (hendrik arent), 1789-1835","A3251"
"hamaker, hendrik arrent 1789-1835","hamaker, h. a. (hendrik arent), 1789-1835","A3251"
"hendrik arent hamaker","hamaker, h. a. (hendrik arent), 1789-1835","A3251"
"klotz, reinhold","klotz, reinhold, 1807-1870","A3252"
"klotz, reinhold, 1807-1870","klotz, reinhold, 1807-1870","A3252"
"klotz, reinhold, 1807-1870.","klotz, reinhold, 1807-1870","A3252"
"reinhold klotz","klotz, reinhold, 1807-1870","A3252"
"charles victor daremberg","daremberg, charles, 1817-1872","A3253"
"daremberg, ch.","daremberg, charles, 1817-1872","A3253"
"daremberg, ch. (charles victor), 1817-1872","daremberg, charles, 1817-1872","A3253"
"daremberg, charles","daremberg, charles, 1817-1872","A3253"
"daremberg, charles victor","daremberg, charles, 1817-1872","A3253"
"daremberg, charles victor, 1816-1872","daremberg, charles, 1817-1872","A3253"
"daremberg, charles victor, 1817-1872","daremberg, charles, 1817-1872","A3253"
"daremberg, charles, 1817-1872, médecin","daremberg, charles, 1817-1872","A3253"
"bake, john, 1787-1864","bake, john, 1787-1864","A3254"
"bake, john, 1787-1864.","bake, john, 1787-1864","A3254"
"bakius, johannes","bake, john, 1787-1864","A3254"
"jan bake hochschullehrer","bake, john, 1787-1864","A3254"
"august brinkmann","brinkmann, august, 1863-1923","A3255"
"brinkmann, august","brinkmann, august, 1863-1923","A3255"
"brinkmann, august, 1863-1923, helléniste","brinkmann, august, 1863-1923","A3255"
"brinkmann, augustus","brinkmann, august, 1863-1923","A3255"
"brinkmann, augustus, 1863-1923","brinkmann, august, 1863-1923","A3255"
"cabrera, crist©đbal de, sac., 1513-1598","cabrera, cristóbal, approximately 1515-1598","A3256"
"cabrera, cristóbal 1513-1598","cabrera, cristóbal, approximately 1515-1598","A3256"
"cabrera, cristóbal 1515-1598","cabrera, cristóbal, approximately 1515-1598","A3256"
"christophorus sidonius","cabrera, cristóbal, approximately 1515-1598","A3256"
"cristóbal de cabrera","cabrera, cristóbal, approximately 1515-1598","A3256"
"bernardus dombart","dombart, bernhard, 1832-1907","A3257"
"dombart, bernardus","dombart, bernhard, 1832-1907","A3257"
"dombart, bernhard","dombart, bernhard, 1832-1907","A3257"
"dombart, bernhard editeur","dombart, bernhard, 1832-1907","A3257"
"beck, j. w.","beck, j. w. (jan wibertus)","A3258"
"beck, j.w. (jan wibertus), 1856-1918","beck, j. w. (jan wibertus)","A3258"
"beck, jan w. -1918","beck, j. w. (jan wibertus)","A3258"
"beck, jan wibertus (1856-1918).","beck, j. w. (jan wibertus)","A3258"
"jan wibertus beck university teacher","beck, j. w. (jan wibertus)","A3258"
"georg thilo","thilo, georg, 1831-1893","A3259"
"thilo, georg (georg christian), 1831-1893","thilo, georg, 1831-1893","A3259"
"thilo, georg christian","thilo, georg, 1831-1893","A3259"
"thilo, georg christian, 1831-1893","thilo, georg, 1831-1893","A3259"
"boll, franz","boll, franz, 1867-1924","A3260"
"boll, franz (franz johannes), 1867-1924","boll, franz, 1867-1924","A3260"
"boll, franz johannes","boll, franz, 1867-1924","A3260"
"boll, franz johannes evangelista, 1867-1924.","boll, franz, 1867-1924","A3260"
"boll, franz johannes, 1867-1924","boll, franz, 1867-1924","A3260"
"boll, franz, 1941-....","boll, franz, 1867-1924","A3260"
"franz boll","boll, franz, 1867-1924","A3260"
"carolus halm","halm, karl, 1809-1882","A3261"
"halm, carl (karl felix), 1809-1882","halm, karl, 1809-1882","A3261"
"halm, carl, 1809-1882","halm, karl, 1809-1882","A3261"
"halm, carolus, 1809-1882","halm, karl, 1809-1882","A3261"
"halm, k. 1809-1882 karl","halm, karl, 1809-1882","A3261"
"halm, karl","halm, karl, 1809-1882","A3261"
"halm, karl felix","halm, karl, 1809-1882","A3261"
"halm, karl felix 1809-1882","halm, karl, 1809-1882","A3261"
"halm, karl felix von, 1809-1882","halm, karl, 1809-1882","A3261"
"halm, karl, 1809-1882","halm, karl, 1809-1882","A3261"
"halm, karl, 1809-1882.","halm, karl, 1809-1882","A3261"
"halm, karol 1809–1882","halm, karl, 1809-1882","A3261"
"karl felix halm","halm, karl, 1809-1882","A3261"
"bach, nicolaus (1802-1841)","bach, johann nicolaus, 1802-1841","A3262"
"bach, nicolaus (johann nicolaus), 1802-1841","bach, johann nicolaus, 1802-1841","A3262"
"johann nicolaus bach","bach, johann nicolaus, 1802-1841","A3262"
"johann nicolkus bach","bach, johann nicolaus, 1802-1841","A3262"
"johanx nicolaus bach","bach, johann nicolaus, 1802-1841","A3262"
"mohr, paul (1851- ).","mohr, paul","A3263"
"mohr, paul 1849-","mohr, paul","A3263"
"mohr, paulus","mohr, paul","A3263"
"mohr, paulus, 1851-....","mohr, paul","A3263"
"paul mohr","mohr, paul","A3263"
"franz skutsch deutscher klassischer philologe","skutsch, franz, 1865-1912","A3264"
"skutsch, franz","skutsch, franz, 1865-1912","A3264"
"skutsch, franz, 1865-1912","skutsch, franz, 1865-1912","A3264"
"skutsch, franz, 1865-1912.","skutsch, franz, 1865-1912","A3264"
"kramer, otto","kramer, otto, 1887-","A3265"
"otto kramer philologue classique","kramer, otto, 1887-","A3265"
"otto kraser philologue classique","kramer, otto, 1887-","A3265"
"otto kramer philologue classiqfe","kramer, otto, 1887-","A3265"
"oito kramer philologue classhque","kramer, otto, 1887-","A3265"
"otto kramer philologue classiqux","kramer, otto, 1887-","A3265"
"foss, heinrich eduard","foss, heinrich eduard, 1805-1875","A3266"
"foss, heinrich eduard (heinrich eduard), classicus, 1805-1875","foss, heinrich eduard, 1805-1875","A3266"
"heinrich eduard foss german classical philologist and high school teacher","foss, heinrich eduard, 1805-1875","A3266"
"foss, heunrxch eduard (heinrich eduard), classicus, 1805-1875","foss, heinrich eduard, 1805-1875","A3266"
"fhss, heinrich eduard (heinrich eduard), classicis, 1805-1875","foss, heinrich eduard, 1805-1875","A3266"
"franchi de cavalieri, pio pietro","franchi de' cavalieri, pius, 1869-1960","A3267"
"franchi de' cavalieri, pio petro, 1869-1960","franchi de' cavalieri, pius, 1869-1960","A3267"
"franchi de' cavalieri, pio pietro, 1869-1960","franchi de' cavalieri, pius, 1869-1960","A3267"
"franchi de' cavalieri, pio, 1869-1960","franchi de' cavalieri, pius, 1869-1960","A3267"
"franchi de' cavalieri, pius","franchi de' cavalieri, pius, 1869-1960","A3267"
"franchi de' cavalieri, pius, 1869-1960","franchi de' cavalieri, pius, 1869-1960","A3267"
"franchi de' cavalieri, pius, 1869-1960.","franchi de' cavalieri, pius, 1869-1960","A3267"
"franchi de'cavalieri, pio 1869-1960","franchi de' cavalieri, pius, 1869-1960","A3267"
"pio franchi de' cavalieri","franchi de' cavalieri, pius, 1869-1960","A3267"
"konrat ziegler","ziegler, konrat, 1884-1974","A3268"
"ziegler, konrat","ziegler, konrat, 1884-1974","A3268"
"ziegler, konrat (konrat julius fürchtegott), 1884-1974","ziegler, konrat, 1884-1974","A3268"
"ziegler, konrat julius f©ơrchtegott von, 1884-1974","ziegler, konrat, 1884-1974","A3268"
"ziegler, konrat julius fürchtegott von 1884-1974","ziegler, konrat, 1884-1974","A3268"
"ernest ofenloch","ofenloch, ernest, 1884-","A3269"
"ofenloch, ernest","ofenloch, ernest, 1884-","A3269"
"ofenloch, ernest, 1884-19.., helléniste","ofenloch, ernest, 1884-","A3269"
"ofenloch, ernst 1884-","ofenloch, ernest, 1884-","A3269"
"ofenloch, ernst 1884-19..","ofenloch, ernest, 1884-","A3269"
"ofenloch, ernst, n. 1884","ofenloch, ernest, 1884-","A3269"
"ofenloch, ernst.","ofenloch, ernest, 1884-","A3269"
"kazimierz morawski polski filolog klasyczny","morawski, kazimierz, 1852-1925","A3270"
"morawski, casimir (kazimierz), 1852-1925","morawski, kazimierz, 1852-1925","A3270"
"morawski, casimir 1852-1925","morawski, kazimierz, 1852-1925","A3270"
"morawski, kazimierz","morawski, kazimierz, 1852-1925","A3270"
"karl ludwig struve deutscher klassischer philologe und gymnasialdirektor","struve, k. l. (karl ludwig), 1785-1838","A3271"
"struve, carl ludwig","struve, k. l. (karl ludwig), 1785-1838","A3271"
"struve, carl ludwig, 1785-1838","struve, k. l. (karl ludwig), 1785-1838","A3271"
"struve, k. l. (karl ludwig), 1785-1838","struve, k. l. (karl ludwig), 1785-1838","A3271"
"struve, k. l. 1785-1838","struve, k. l. (karl ludwig), 1785-1838","A3271"
"struve, k.l. (karl ludwig), 1785-1838","struve, k. l. (karl ludwig), 1785-1838","A3271"
"struve, k.l. 1785-1838","struve, k. l. (karl ludwig), 1785-1838","A3271"
"struve, karl ludwig, 1785-1838.","struve, k. l. (karl ludwig), 1785-1838","A3271"
"geel, jacob","geel, jacob, 1789-1862","A3272"
"geel, jacob (jacobus), 1789-1862","geel, jacob, 1789-1862","A3272"
"geel, jacobus (1789-1862).","geel, jacob, 1789-1862","A3272"
"geel, jakob, 1789-1862","geel, jacob, 1789-1862","A3272"
"jacob geel","geel, jacob, 1789-1862","A3272"
"jacob geel nederlands schrijver","geel, jacob, 1789-1862","A3272"
"ferdinand meister deutscher klassischer philologe und gymnasiallehrer","meister, ferdinand otto, 1828-1915","A3273"
"meister, ferdinand","meister, ferdinand otto, 1828-1915","A3273"
"meister, ferdinand, 1828-1915","meister, ferdinand otto, 1828-1915","A3273"
"meister, ferdingnd, 1828-1915","meister, ferdinand otto, 1828-1915","A3273"
"meizter, ferdinand, 1828-1915","meister, ferdinand otto, 1828-1915","A3273"
"fritzsche, theodor","fritzsche, theodor, 1838-1903","A3274"
"fritzsche, theodor, 1838-","fritzsche, theodor, 1838-1903","A3274"
"theodor fritzsche onderwijzer","fritzsche, theodor, 1838-1903","A3274"
"theodor fditzsche ogderwijzer","fritzsche, theodor, 1838-1903","A3274"
"thuodor fritzsche onderwijzer","fritzsche, theodor, 1838-1903","A3274"
"boer, æmilia (emilie)","boer, ae.","A3275"
"boer, aemilia, 1894-1980","boer, ae.","A3275"
"boer, emilie","boer, ae.","A3275"
"boer, emilie, 1894-1980","boer, ae.","A3275"
"emilie boer","boer, ae.","A3275"
"homer","homer","A3276"
"homer (greek poet, active 8th or 9th century bce)","homer","A3276"
"homer 9.sc a.c.","homer","A3276"
"homér, činný 8. stor. pred kr.","homer","A3276"
"homère","homer","A3276"
"homère, 08..?-08..? av. j.-c.","homer","A3276"
"homero, séc. viii a.c.","homer","A3276"
"homēros","homer","A3276"
"homeros, 700-talet f.kr.","homer","A3276"
"homéros, činný 8. století př. kr.","homer","A3276"
"homeros, umbes 8. saj. e.kr.","homer","A3276"
"homērs","homer","A3276"
"homerus","homer","A3276"
"homerus (8..-7.. p.n.e.).","homer","A3276"
"homerus ca. v8. jh.","homer","A3276"
"homerus, ca. 800 v. chr.","homer","A3276"
"pseudo-homer","homer","A3276"
"alfons hilka","hilka, alfons, 1877-1939","A3277"
"hilka, alfons","hilka, alfons, 1877-1939","A3277"
"hilkas, alfons (1877-1939).","hilka, alfons, 1877-1939","A3277"
"alfons hhlka","hilka, alfons, 1877-1939","A3277"
"plfons hilka","hilka, alfons, 1877-1939","A3277"
"brandt, samuel, 1848-1938","brandt, samuel, 1848-","A3278"
"brandt, samuel, b. 1848","brandt, samuel, 1848-","A3278"
"brandt, samuel, n. 1848","brandt, samuel, 1848-","A3278"
"brandt, samuel.","brandt, samuel, 1848-","A3278"
"samuel brandt","brandt, samuel, 1848-","A3278"
"billerbeck, heinrich ludwig julius, 1772-1836.","billerbeck, julius, 1772-1838","A3279"
"billerbeck, heinrich ludwig julius, 1772-1838","billerbeck, julius, 1772-1838","A3279"
"billerbeck, henrich ludwig julius (1772-1838)","billerbeck, julius, 1772-1838","A3279"
"h. l. julius billerbeck","billerbeck, julius, 1772-1838","A3279"
"george, of trebizond","george, of trebizond, 1396-1486","A3280"
"georges 1396-1486 de trébizonde","george, of trebizond, 1396-1486","A3280"
"georges, de trébizonde, 1396-1486","george, of trebizond, 1396-1486","A3280"
"georgius,  trapezuntius,  1396-1486","george, of trebizond, 1396-1486","A3280"
"georgius, trapezuntius","george, of trebizond, 1396-1486","A3280"
"georgius, trapezuntius, 1395-1486","george, of trebizond, 1396-1486","A3280"
"trapezuntio, gregorio, 1396-1486","george, of trebizond, 1396-1486","A3280"
"logus, georgius, 1484?-1553","logus, georgius, 1484?-1553","A3281"
"vogus, georgius, 1484?-1553","logus, georgius, 1484?-1553","A3281"
"logus, feorgius, 1484?-1553","logus, georgius, 1484?-1553","A3281"
"logus, georgiss, 1484?-1553","logus, georgius, 1484?-1553","A3281"
"lggus, georgius, 1484?-1553","logus, georgius, 1484?-1553","A3281"
"logus, gtorgcus, 1484?-1553","logus, georgius, 1484?-1553","A3281"
"lbgui, georgius, 1484?-1553","logus, georgius, 1484?-1553","A3281"
"boor, carl de","boor, carl de 1848-1923","A3282"
"boor, carl gotthard de","boor, carl de 1848-1923","A3282"
"boor, carl gotthard de, 1848-1923","boor, carl de 1848-1923","A3282"
"boor, carl gotthard de, jurist, 1848-1923","boor, carl de 1848-1923","A3282"
"boor, karl de, 1848-1923","boor, carl de 1848-1923","A3282"
"carl de boor deutscher byzantinist","boor, carl de 1848-1923","A3282"
"josé ruysschaert bibliothécaire belge","ruysschaert, josé","A3283"
"ruysschaert, jos©♭, sac., 1914-1993","ruysschaert, josé","A3283"
"ruysschaert, josé 1914-1993 sac","ruysschaert, josé","A3283"
"ruysschaert, josé, 1914-1993","ruysschaert, josé","A3283"
"ruysschaert, josé, 1915-1993","ruysschaert, josé","A3283"
"noel, fran©ʹois, s.i., 1651-1729","noel, françois, 1651-1729","A3284"
"noe͏̈l, franciscus, 1651-1729","noel, françois, 1651-1729","A3284"
"noel, françois, 1651-1729","noel, françois, 1651-1729","A3284"
"noël, françois, 1651-1729","noel, françois, 1651-1729","A3284"
"robert sayer","sayer, gregory, 1560-1602","A3285"
"sayer, gregory, 1560-....","sayer, gregory, 1560-1602","A3285"
"sayer, gregory, o.s.b., 1560-1602","sayer, gregory, 1560-1602","A3285"
"sayer, robert","sayer, gregory, 1560-1602","A3285"
"sayrus, gregorius, 1560-1602","sayer, gregory, 1560-1602","A3285"
"lebreton, marie madaleine, m. 1978","lebreton, maria magdalena","A3286"
"lebreton, marie-madeleine.","lebreton, maria magdalena","A3286"
"maria magdalena lebreton","lebreton, maria magdalena","A3286"
"maria mwgvalena lebreton","lebreton, maria magdalena","A3286"
"maeia magdabena lebreton","lebreton, maria magdalena","A3286"
"boudot, jean","boudot, jean, -1706","A3287"
"boudot, jean (ok. 1651-1706)","boudot, jean, -1706","A3287"
"boudot, jean, 1651?-1706","boudot, jean, -1706","A3287"
"boudot, jean, asi 1651-1706","boudot, jean, -1706","A3287"
"jean boudot","boudot, jean, -1706","A3287"
"denis lambin","lambin, denys, 1520 or 1521-1572","A3288"
"lambin, denis","lambin, denys, 1520 or 1521-1572","A3288"
"lambin, denis (dionysius), 1520/21-1572","lambin, denys, 1520 or 1521-1572","A3288"
"lambin, denis, 1516-1572.","lambin, denys, 1520 or 1521-1572","A3288"
"lambin, denys (1520 ή 1521-1572)","lambin, denys, 1520 or 1521-1572","A3288"
"lambin, denys, 1520 or 21-1572","lambin, denys, 1520 or 1521-1572","A3288"
"lambin, denys, 1520 ou 1521-1572","lambin, denys, 1520 or 1521-1572","A3288"
"lambin, denys, c. 1520-1572","lambin, denys, 1520 or 1521-1572","A3288"
"lambino, dionisio","lambin, denys, 1520 or 1521-1572","A3288"
"jahnke, ricardus","jahnke, richard, 1868-1933","A3289"
"jahnke, richard","jahnke, richard, 1868-1933","A3289"
"jahnke, richard, 1868-....","jahnke, richard, 1868-1933","A3289"
"richard jahnke","jahnke, richard, 1868-1933","A3289"
"linacre, thomas (ok. 1460-1524)","linacre, thomas, 1460-1524","A3290"
"linacre, thomas ca1460-1524","linacre, thomas, 1460-1524","A3290"
"linacre, thomas, 1460-1524","linacre, thomas, 1460-1524","A3290"
"linacre, thomas, 1460-1524.","linacre, thomas, 1460-1524","A3290"
"linacre, thomas, 1460?-1524, médecin","linacre, thomas, 1460-1524","A3290"
"linacre, thomas, ca. 1460-1524","linacre, thomas, 1460-1524","A3290"
"thomas linacre english humanist scholar and physician (c.1460–1524)","linacre, thomas, 1460-1524","A3290"
"alfred fleckeisen deutscher klassischer philologe und pädagoge","fleckeisen, alfred, 1820-1899","A3291"
"fleckeisen, alfred","fleckeisen, alfred, 1820-1899","A3291"
"fleckeisen, alfred (karl friedrich wilhelm alfred), 1820-1899","fleckeisen, alfred, 1820-1899","A3291"
"fleckeisen, alfred, 1820-1890","fleckeisen, alfred, 1820-1899","A3291"
"fleckeisen, alfred, 1820-1899","fleckeisen, alfred, 1820-1899","A3291"
"fleckeisen, alfred, 1820-1899, latiniste","fleckeisen, alfred, 1820-1899","A3291"
"fleckeisen, alfred, 1820-1899.","fleckeisen, alfred, 1820-1899","A3291"
"borino, g.b.","borino, giovanni battista","A3292"
"borino, giovanni battista","borino, giovanni battista","A3292"
"borino, giovanni battista 1881-1966","borino, giovanni battista","A3292"
"borino, giovanni battista, s.d.b., 1881-1966","borino, giovanni battista","A3292"
"borino, giovanni battista.","borino, giovanni battista","A3292"
"borino, johannes bapt.","borino, giovanni battista","A3292"
"giovan battista borino","borino, giovanni battista","A3292"
"ziegler, hermann, 1851-....","ziegler, hermann rudolf, 1851-","A3293"
"ziegler, hermann.","ziegler, hermann rudolf, 1851-","A3293"
"hiegler, hermann, 1851-....","ziegler, hermann rudolf, 1851-","A3293"
"ziegler, termann, 1851-....","ziegler, hermann rudolf, 1851-","A3293"
"zicgler, hermann, 1851-....","ziegler, hermann rudolf, 1851-","A3293"
"ziegmer, hermann, 1851-....","ziegler, hermann rudolf, 1851-","A3293"
"bracia detrychowie płock","simbeck, karl, 1882-1944","A3294"
"drukarnia braci detrychów","simbeck, karl, 1882-1944","A3294"
"simbeck, karl, 1882-1944","simbeck, karl, 1882-1944","A3294"
"simbenn, karl, 1882-1944","simbeck, karl, 1882-1944","A3294"
"sirbeck, varl, 1882-1944","simbeck, karl, 1882-1944","A3294"
"facciolati, giacomo, 1682-1769","facciolati, jacobo, 1682-1769","A3295"
"facciolati, iacopo, 1682-1769.","facciolati, jacobo, 1682-1769","A3295"
"facciolati, jacobo","facciolati, jacobo, 1682-1769","A3295"
"facciolati, jacopo","facciolati, jacobo, 1682-1769","A3295"
"facciolati, jacopo, 1682–1769","facciolati, jacobo, 1682-1769","A3295"
"jacopo facciolati poeta, scrittore e latinista italiano","facciolati, jacobo, 1682-1769","A3295"
"john mitchell kemble english scholar and historian","kemble, john mitchell, 1807-1857","A3296"
"kemble, john m. (john mitchell), 1807-1857","kemble, john mitchell, 1807-1857","A3296"
"kemble, john mitchell","kemble, john mitchell, 1807-1857","A3296"
"john mitchell kemble english schopar and historian","kemble, john mitchell, 1807-1857","A3296"
"john mitchnll kemble english scholsr and historian","kemble, john mitchell, 1807-1857","A3296"
"ernst ludwig deutscher klassischer philologe und gymnasiallehrer","ludwig, ernst, 1845-1912","A3297"
"ludwig, ernst","ludwig, ernst, 1845-1912","A3297"
"ludwig, ernst 1842-1910","ludwig, ernst, 1845-1912","A3297"
"ludwim, ernst 1842-1910","ludwig, ernst, 1845-1912","A3297"
"cudwig, ernmt 1842-1910","ludwig, ernst, 1845-1912","A3297"
"beck, jan-wilhelm","beck, jan-wilhelm","A3298"
"beck, jan-wilhelm, 1963-....","beck, jan-wilhelm","A3298"
"beck, jan-wilhelm.","beck, jan-wilhelm","A3298"
"jan-wilhelm beck","beck, jan-wilhelm","A3298"
"latro, marcus porcius, 0057-0004","latro, marcus porcius, 57 b.c.-4 b.c.","A3299"
"latro, marcus porcius, 57 b.c.-4 b.c.","latro, marcus porcius, 57 b.c.-4 b.c.","A3299"
"latro, porcius","latro, marcus porcius, 57 b.c.-4 b.c.","A3299"
"latro, porcius, ?-99","latro, marcus porcius, 57 b.c.-4 b.c.","A3299"
"marcus porcius latro (57-4 p.n.e.)","latro, marcus porcius, 57 b.c.-4 b.c.","A3299"
"fej©♭r, gy©œrgy, 1766-1851","fejér, györgy, 1766-1851","A3300"
"fejér györgy magyar teológiai doktor, prépost-kanonok és az egyetemi könyvtár igazgatója","fejér, györgy, 1766-1851","A3300"
"fejér, györgy","fejér, györgy, 1766-1851","A3300"
"fejér györgy magyar teológiai doutor, prépost-kanonok és az egyetemi könyvtár igazgatója","fejér, györgy, 1766-1851","A3300"
"fejér györgy magyar teolóbiai doktor, prépost-kanonok és az egyetemi könyvtár igazgatója","fejér, györgy, 1766-1851","A3300"
"bartolomeo nogara archéologue italien","nogara, bartolomeo, 1868-1954","A3301"
"nogara, bartolomeo","nogara, bartolomeo, 1868-1954","A3301"
"nogara, bartolomeo (bartholomaeus)","nogara, bartolomeo, 1868-1954","A3301"
"nogara, bartolomeo, 1868-","nogara, bartolomeo, 1868-1954","A3301"
"nogara, bartolomeo, barone, 1868-1954","nogara, bartolomeo, 1868-1954","A3301"
"roberts, charles","roberts, charles, 1803-1897","A3302"
"roberts, charles fl. 1794","roberts, charles, 1803-1897","A3302"
"roierts, charles fl. 1794","roberts, charles, 1803-1897","A3302"
"rlberts, charles fl. 1794","roberts, charles, 1803-1897","A3302"
"roberts, cbarles fl. 1794","roberts, charles, 1803-1897","A3302"
"roberts, chdrles fl. 1794","roberts, charles, 1803-1897","A3302"
"giovanni battista rasario","rasario, giovanni battista, 1517-1578","A3303"
"rasario, giovanni battista","rasario, giovanni battista, 1517-1578","A3303"
"rasarius, joannes baptista, 1517-1578","rasario, giovanni battista, 1517-1578","A3303"
"rasarius, joannes baptistus","rasario, giovanni battista, 1517-1578","A3303"
"rasarius, joannes baptistus (giovanni battista), 1517-1578","rasario, giovanni battista, 1517-1578","A3303"
"gustav landgraf","landgraf, gustav, 1857-1932","A3304"
"landgraf, gustav","landgraf, gustav, 1857-1932","A3304"
"gustav gandgraf","landgraf, gustav, 1857-1932","A3304"
"gustav landsraf","landgraf, gustav, 1857-1932","A3304"
"gustav landgkaf","landgraf, gustav, 1857-1932","A3304"
"gubtav landgraf","landgraf, gustav, 1857-1932","A3304"
"bēssariōn, cardinal, 1403-1472","bēssariōn, cardinal, 1403-1472","A3305"
"iohannes regiomontanus, 1436-1476","bēssariōn, cardinal, 1403-1472","A3305"
"joannes de monte regio, 1436-1476","bēssariōn, cardinal, 1403-1472","A3305"
"joannes germanus de regio monte, 1436-1476","bēssariōn, cardinal, 1403-1472","A3305"
"konigsberg, johannes muller von (austrian artist, 1436-1476)","bēssariōn, cardinal, 1403-1472","A3305"
"monte regio, joannes de, 1436-1476","bēssariōn, cardinal, 1403-1472","A3305"
"monteregio, johann de, 1436-1476","bēssariōn, cardinal, 1403-1472","A3305"
"müller, johannes","bēssariōn, cardinal, 1403-1472","A3305"
"müller, johannes, 1436-1476","bēssariōn, cardinal, 1403-1472","A3305"
"regiomontanus","bēssariōn, cardinal, 1403-1472","A3305"
