"author","distilbert_author","count"
"Cicero, Marcus Tullius, 106-43 B.C. E.","{'authorized_name': 'cicero, marcus tullius', 'author_id': 'A5129'}","1"
"Cicero, Marcus Tullius.","{'authorized_name': 'cicero, marcus tullius', 'author_id': 'A5129'}","751"
"Cicerón, Marco Tulio, 106-43 a.C.","{'authorized_name': 'cicero, marcus tullius', 'author_id': 'A5129'}","148"
"Cipriano, Santo, Obispo de Cartago, ca. 210-258.","{'authorized_name': 'cyprian, saint, bishop of carthage', 'author_id': 'A5298'}","3"
"Clark, Albert Curtis, 1859-1937.","{'authorized_name': 'clark, albert curtis, 1859-1937', 'author_id': 'A5977'}","1"
"Claudianus, Claudio.","{'authorized_name': 'claudianus, claudius', 'author_id': 'A4503'}","2"
"Claudianus, Claudius","{'authorized_name': 'claudianus, claudius', 'author_id': 'A4503'}","27"
"Claudianus, Claudius.","{'authorized_name': 'claudianus, claudius', 'author_id': 'A4503'}","20"
"Cochlaeus, Johannes, 1479-1552","{'authorized_name': 'cochlaeus, johannes, 1479-1552', 'author_id': 'A4316'}","1"
"Cochlaeus, Johannes, 1479-1552.","{'authorized_name': 'cochlaeus, johannes, 1479-1552', 'author_id': 'A4316'}","6"
"Colet, John, 1467?-1519.","{'authorized_name': 'colet, john, 1467?-1519', 'author_id': 'A5625'}","1"
"Columella, Lucius Junius Moderatus","{'authorized_name': 'columella, lucius junius moderatus', 'author_id': 'A5056'}","1"
"Columella, Lucius Junius Moderatus.","{'authorized_name': 'columella, lucius junius moderatus', 'author_id': 'A5056'}","6"
"Commodianus","{'authorized_name': 'commodianus', 'author_id': 'A5248'}","3"
"Commodianus.","{'authorized_name': 'commodianus', 'author_id': 'A5248'}","11"
"Copernicus, Nicolaus, 1473-1543","{'authorized_name': 'copernicus, nicolaus, 1473-1543', 'author_id': 'A4141'}","2"
"Copernicus, Nicolaus, 1473-1543.","{'authorized_name': 'copernicus, nicolaus, 1473-1543', 'author_id': 'A4141'}","5"
"Corippus, Flavius Cresconius.","{'authorized_name': 'corippus, flavius cresconius', 'author_id': 'A5247'}","2"
"Cornarius, Ianus","{'authorized_name': 'cornarius, janus, 1500-1558', 'author_id': 'A4007'}","1"
"Cortesi, Paolo, 1465-1510.","{'authorized_name': 'cortesi, paolo, 1465-1510', 'author_id': 'A4046'}","1"
"Cowley, Abraham, 1618-1667","{'authorized_name': 'cowley, abraham, 1618-1667', 'author_id': 'A4034'}","1"
"Cowley, Abraham, 1618-1667.","{'authorized_name': 'cowley, abraham, 1618-1667', 'author_id': 'A4034'}","1"
"Crusius, Thomas Theodorus, 1648-1728.","{'authorized_name': 'crenius, thomas, 1648-1728', 'author_id': 'A5989'}","1"
"Cunaeus, Petrus, 1586-1638.","{'authorized_name': 'cunaeus, petrus, 1586-1638', 'author_id': 'A4030'}","5"
"Cunich, Raimondo, 1719-1794.","{'authorized_name': 'cunich, raimondo, 1719-1794', 'author_id': 'A4187'}","1"
"Curcio Rufo, Quinto.","{'authorized_name': 'curtius rufus, quintus', 'author_id': 'A4602'}","11"
"Curtius Rufus, Quintus","{'authorized_name': 'curtius rufus, quintus', 'author_id': 'A4602'}","24"
"Curtius Rufus, Quintus,","{'authorized_name': 'curtius rufus, quintus', 'author_id': 'A4602'}","1"
"Curtius Rufus, Quintus.","{'authorized_name': 'curtius rufus, quintus', 'author_id': 'A4602'}","72"
"Cyprian, Saint, Bishop of Carthage","{'authorized_name': 'cyprian, saint, bishop of carthage', 'author_id': 'A5298'}","8"
"Cyprian, Saint, Bishop of Carthage.","{'authorized_name': 'cyprian, saint, bishop of carthage', 'author_id': 'A5298'}","10"
"Cyprianus Gallus, active 5th century,","{'authorized_name': 'cyprianus gallus', 'author_id': 'A4537'}","4"
"César, Cayo Julio, 100-44 a.C.","{'authorized_name': 'caesar, julius', 'author_id': 'A4644'}","4"
"Dante Alighieri, 1265-1321","{'authorized_name': 'dante alighieri, 1265-1321', 'author_id': 'A4646'}","1"
"Dante Alighieri, 1265-1321.","{'authorized_name': 'dante alighieri, 1265-1321', 'author_id': 'A4646'}","10"
"Dati, Leonardo, -1425.","{'authorized_name': 'dati, leonardo, 1408-1472', 'author_id': 'A3059'}","1"
"De Vio, Tommaso, 1469-1534","{'authorized_name': 'cajetan, tommaso de vio, 1469-1534', 'author_id': 'A4256'}","2"
"De Vio, Tommaso, 1469-1534.","{'authorized_name': 'cajetan, tommaso de vio, 1469-1534', 'author_id': 'A4256'}","12"
"De Vío, Tommaso, 1469-1534","{'authorized_name': 'cajetan, tommaso de vio, 1469-1534', 'author_id': 'A4256'}","1"
"Decembrio, Angelo, approximately 1415-1462.","{'authorized_name': 'decembrio, angelo, approximately 1415-1462', 'author_id': 'A4017'}","1"
"Decembrio, Angelo, ca. 1415-1462.","{'authorized_name': 'decembrio, angelo, approximately 1415-1462', 'author_id': 'A4017'}","2"
"Defensor de Ligugé","{'authorized_name': 'defensor', 'author_id': 'A4474'}","1"
"Dicuil, fl. 825.","{'authorized_name': 'dicuil', 'author_id': 'A5286'}","3"
"Dinter, Bernhard, 1825-","{'authorized_name': 'dinter, bernard', 'author_id': 'A3523'}","2"
"Duns Scotus, John, approximately 1266-1308","{'authorized_name': 'duns scotus, john, approximately 1266-1308', 'author_id': 'A5593'}","13"
"Duns Scotus, John, approximately 1266-1308.","{'authorized_name': 'duns scotus, john, approximately 1266-1308', 'author_id': 'A5593'}","66"
"Dupuy, Jacques, 1591-1656.","{'authorized_name': 'dupuy, jacques, 1591-1656', 'author_id': 'A3996'}","1"
"Dübner, Fr. 1802-1867,","{'authorized_name': 'dübner, fr. (friedrich), 1802-1867', 'author_id': 'A6094'}","2"
"Edwardes, David.","{'authorized_name': 'edguard, david, approximately 1502-approximately 1542', 'author_id': 'A4048'}","1"
"Ekkehard IV, approximately 980-approximately 1060.","{'authorized_name': 'ekkehard iv, approximately 980-approximately 1060', 'author_id': 'A5299'}","1"
"Emili, Paolo, 1460-1529","{'authorized_name': 'emili, paolo, -1529', 'author_id': 'A3983'}","1"
"Emili, Paolo.","{'authorized_name': 'emili, paolo, -1529', 'author_id': 'A3983'}","1"
"Enk, Petrus Joannes, 1885-","{'authorized_name': 'enk, petrus joannes, 1885-', 'author_id': 'A6147'}","1"
"Ennius, Quintus.","{'authorized_name': 'ennius, quintus', 'author_id': 'A4631'}","2"
"Ennodius, Magnus Felix, Saint, 474-521","{'authorized_name': 'ennodius, magnus felix, saint', 'author_id': 'A5313'}","2"
"Ennodius, Magnus Felix, Saint, 474-521.","{'authorized_name': 'ennodius, magnus felix, saint', 'author_id': 'A5313'}","2"
"Ephraem, Syrus, Saint, 303-373","{'authorized_name': 'ephraem, syrus, saint', 'author_id': 'A5288'}","2"
"Ephraem, Syrus, Saint, 303-373.","{'authorized_name': 'ephraem, syrus, saint', 'author_id': 'A5288'}","4"
"Epiphanius, Saint, Bishop of Constantia in Cyprus, ca. 310-403","{'authorized_name': 'epiphanius, saint, bishop of constantia in cyprus', 'author_id': 'A5322'}","2"
"Epiphanius, Saint, Bishop of Constantia in Cyprus, ca. 310-403.","{'authorized_name': 'epiphanius, saint, bishop of constantia in cyprus', 'author_id': 'A5322'}","1"
"Erasmus, Desiderius 1467-1536.","{'authorized_name': 'erasmus, desiderius', 'author_id': 'A4743'}","1"
"Erasmus, Desiderius, -1536","{'authorized_name': 'erasmus, desiderius', 'author_id': 'A4743'}","2"
"Erasmus, Desiderius, -1536.","{'authorized_name': 'erasmus, desiderius', 'author_id': 'A4743'}","8"
"Erasmus, Desiderius, 1467-1536","{'authorized_name': 'erasmus, desiderius', 'author_id': 'A4743'}","1"
"Erasmus, Desiderius, 1467-1536.","{'authorized_name': 'erasmus, desiderius', 'author_id': 'A4743'}","12"
"Erasmus, Desiderius, d. 1536","{'authorized_name': 'erasmus, desiderius', 'author_id': 'A4743'}","1"
"Erasmus, Desiderius, d. 1536.","{'authorized_name': 'erasmus, desiderius', 'author_id': 'A4743'}","42"
"Erigena, Johannes Scotus, ca. 810-ca. 877.","{'authorized_name': 'erigena, johannes scotus', 'author_id': 'A5230'}","1"
"Ernest, Johann August, 1707-1781.","{'authorized_name': 'ernesti, johann august, 1707-1781', 'author_id': 'A6055'}","1"
"Ernesti, August Wilhelm, 1733-1801.","{'authorized_name': 'ernesti, august wilhelm, 1733-1801', 'author_id': 'A5954'}","1"
"Ernesti, Johann August, 1707-1781.","{'authorized_name': 'ernesti, johann august, 1707-1781', 'author_id': 'A6055'}","4"
"Estacio, Publio Papinio, ca. 45-96","{'authorized_name': 'statius, p. papinius (publius papinius)', 'author_id': 'A4826'}","2"
"Estacio, Publio Papinio, ca. 45-96.","{'authorized_name': 'statius, p. papinius (publius papinius)', 'author_id': 'A4826'}","12"
"Estienne, Robert, 1503?-1559","{'authorized_name': 'estienne, robert, 1503?-1559', 'author_id': 'A3558'}","1"
"Eucherius, of Lyon, Saint, -449?","{'authorized_name': 'eucherius, of lyon, saint', 'author_id': 'A5383'}","1"
"Eucherius, of Lyon, Saint, d. 449?","{'authorized_name': 'eucherius, of lyon, saint', 'author_id': 'A5383'}","1"
"Eulogio de Córdoba, Santo, m. 859.","{'authorized_name': 'eulogius, of córdoba, saint', 'author_id': 'A5502'}","3"
"Eusevius Pamphili, bp. of Caesarea.","{'authorized_name': 'eusebius, of caesarea, bishop of caesarea', 'author_id': 'A5343'}","1"
"Eutropius, 4th cent.","{'authorized_name': 'eutropius, active 4th century', 'author_id': 'A5295'}","3"
"Eutropius, active 4th century.","{'authorized_name': 'eutropius, active 4th century', 'author_id': 'A5295'}","4"
"Evrard, de Béthune.","{'authorized_name': 'evrard, de béthune', 'author_id': 'A5302'}","1"
"Fabricius, Georg, 1516-1571.","{'authorized_name': 'fabricius, georg, 1516-1571', 'author_id': 'A4033'}","1"
"Fabricius, Johann Albert 1668-1736.","{'authorized_name': 'fabricius, johann albert, 1668-1736', 'author_id': 'A5982'}","20"
"Fabricius, Johann Albert, 1668-1736,","{'authorized_name': 'fabricius, johann albert, 1668-1736', 'author_id': 'A5982'}","1"
"Fabricius, Johann Albert, 1668-1736.","{'authorized_name': 'fabricius, johann albert, 1668-1736', 'author_id': 'A5982'}","30"
"Facio, Bartolomeo, -1457.","{'authorized_name': 'facio, bartolomeo, -1457', 'author_id': 'A3971'}","2"
"Facio, Bartolomeo, d. 1457","{'authorized_name': 'facio, bartolomeo, -1457', 'author_id': 'A3971'}","1"
"Facio, Bartolomeo.","{'authorized_name': 'facio, bartolomeo, -1457', 'author_id': 'A3971'}","1"
"Facrno, Gabriello, d. 1561.","{'authorized_name': 'faerno, gabriello, 1511-1561', 'author_id': 'A5999'}","1"
"Facundus Hermeanensis.","{'authorized_name': 'facundus, of hermiane', 'author_id': 'A5511'}","1"
"Faustus, of Riez, active 5th century.","{'authorized_name': 'faustus, of riez', 'author_id': 'A5243'}","5"
"Ferrari, Giovanni Battista, 1584-1655","{'authorized_name': 'ferrari, giovanni battista, 1584-1655', 'author_id': 'A3953'}","2"
"Ferrari, Giovanni Battista, 1584-1655.","{'authorized_name': 'ferrari, giovanni battista, 1584-1655', 'author_id': 'A3953'}","3"
"Festus, Sextus Pompeius, 2nd cent.","{'authorized_name': 'festus, sextus pompeius', 'author_id': 'A4628'}","5"
"Ficino, Marsilio, 1433-1499","{'authorized_name': 'ficino, marsilio, 1433-1499', 'author_id': 'A4355'}","5"
"Ficino, Marsilio, 1433-1499.","{'authorized_name': 'ficino, marsilio, 1433-1499', 'author_id': 'A4355'}","5"
"Filelfo, Francesco, 1398-1481.","{'authorized_name': 'filelfo, francesco, 1398-1481', 'author_id': 'A3020'}","2"
"Filopón, Juan.","{'authorized_name': 'philoponus, john, active 6th century', 'author_id': 'A3211'}","2"
"Firmicus Maternus, Julius.","{'authorized_name': 'firmicus maternus, julius', 'author_id': 'A5524'}","10"
"Flaminio, Marco Antonio, 1498-1550","{'authorized_name': 'flaminio, marco antonio, 1498-1550', 'author_id': 'A3968'}","2"
"Flaminio, Marco Antonio, 1498-1550.","{'authorized_name': 'flaminio, marco antonio, 1498-1550', 'author_id': 'A3968'}","1"
"Flodoard, of Reims, 894-966.","{'authorized_name': 'flodoard, of reims', 'author_id': 'A5280'}","1"
"Florus, Lucius Annaeus","{'authorized_name': 'florus, lucius annaeus', 'author_id': 'A5047'}","3"
"Florus, Lucius Annaeus, 2nd cent.","{'authorized_name': 'florus, lucius annaeus', 'author_id': 'A5047'}","1"
"Florus, Lucius Annaeus.","{'authorized_name': 'florus, lucius annaeus', 'author_id': 'A5047'}","34"
"Foerster, Richard, 1843-1922.","{'authorized_name': 'foerster, richard, 1843-1922', 'author_id': 'A6203'}","1"
"Foglietta, Uberto, 1518-1581","{'authorized_name': 'foglietta, uberto, 1518-1581', 'author_id': 'A3050'}","2"
"Foglietta, Uberto, 1518-1581.","{'authorized_name': 'foglietta, uberto, 1518-1581', 'author_id': 'A3050'}","3"
"Folengo, Teofilo, 1496-1544.","{'authorized_name': 'folengo, teofilo, 1496-1544', 'author_id': 'A5719'}","1"
"Forcellini, Egidio, 1688-1768","{'authorized_name': 'forcellini, egidio, 1688-1768', 'author_id': 'A3333'}","1"
"Forcellini, Egidio, 1688-1768.","{'authorized_name': 'forcellini, egidio, 1688-1768', 'author_id': 'A3333'}","16"
"Fortunato, Venancio Honorio Clemenciano, ca. 540-600.","{'authorized_name': 'fortunatus, venantius honorius clementianus', 'author_id': 'A4856'}","1"
"Fox Morcillo, Sebastian.","{'authorized_name': 'morcillo, sebastián fox, approximately 1526-approximately 1560', 'author_id': 'A4152'}","1"
"Fox Morcillo, Sebastián.","{'authorized_name': 'morcillo, sebastián fox, approximately 1526-approximately 1560', 'author_id': 'A4152'}","2"
"Fracastoro, Girolamo, 1478-1553.","{'authorized_name': 'fracastoro, girólamo, 1478-1553', 'author_id': 'A5606'}","6"
"Fracastoro, Girolamo, 1483-1553.","{'authorized_name': 'fracastoro, girólamo, 1478-1553', 'author_id': 'A5606'}","3"
"Freinsheim, Johann, 1608-1660.","{'authorized_name': 'freinsheim, johann, 1608-1660', 'author_id': 'A6025'}","2"
"Friedlaender, Ludwig, 1824-1909","{'authorized_name': 'friedlaender, ludwig, 1824-1909', 'author_id': 'A3546'}","1"
"Friedlaender, Ludwig, 1824-1909.","{'authorized_name': 'friedlaender, ludwig, 1824-1909', 'author_id': 'A3546'}","2"
"Frischlin, Nicodemus, 1547-1590","{'authorized_name': 'frischlin, nicodemus, 1547-1590', 'author_id': 'A3959'}","1"
"Frischlin, Nicodemus, 1547-1590.","{'authorized_name': 'frischlin, nicodemus, 1547-1590', 'author_id': 'A3959'}","1"
"Frontino, Sexto Julio","{'authorized_name': 'frontinus, sextus julius', 'author_id': 'A4597'}","1"
"Fulcoius, Belvacensis, approximately 1020-approximately 1083.","{'authorized_name': 'fulcoius, belvacensis', 'author_id': 'A5228'}","1"
"Fulgencio de Ruspe, Santo, 463-533","{'authorized_name': 'fulgentius, saint, bishop of ruspa', 'author_id': 'A5219'}","3"
"Fulgencio de Ruspe, Santo, 463-533.","{'authorized_name': 'fulgentius, saint, bishop of ruspa', 'author_id': 'A5219'}","1"
"Fulgentius, Fabius Planciades","{'authorized_name': 'fulgentius, fabius planciades', 'author_id': 'A4434'}","2"
"Gabuccini, Girolamo.","{'authorized_name': 'gabuccini, girolamo, active 16th century', 'author_id': 'A3435'}","1"
"Gambara, Lorenzo, approximately 1495-1585.","{'authorized_name': 'gambara, lorenzo, approximately 1495-1585', 'author_id': 'A3073'}","1"
"Gassendi, Pierre, 1592-1655","{'authorized_name': 'gassendi, pierre, 1592-1655', 'author_id': 'A4226'}","6"
"Gassendi, Pierre, 1592-1655.","{'authorized_name': 'gassendi, pierre, 1592-1655', 'author_id': 'A4226'}","9"
"Gataker, Thomas, 1574-1654.","{'authorized_name': 'gataker, thomas, 1574-1654', 'author_id': 'A6017'}","1"
"Gaza, Theodorus, 1398-1475.","{'authorized_name': 'gazēs, theodōros, approximately 1400-approximately 1475', 'author_id': 'A3424'}","3"
"Gazēs, Theodōros, approximately 1400-approximately 1475.","{'authorized_name': 'gazēs, theodōros, approximately 1400-approximately 1475', 'author_id': 'A3424'}","1"
"Gellius, Aulus","{'authorized_name': 'gellius, aulus', 'author_id': 'A5356'}","17"
"Gellius, Aulus.","{'authorized_name': 'gellius, aulus', 'author_id': 'A5356'}","28"
"Gemoll, Wilhelm, 1850-1934.","{'authorized_name': 'gemoll, wilhelm, 1850-1934', 'author_id': 'A5660'}","1"
"Gentili, Scipione, 1563-1616","{'authorized_name': 'gentili, scipione, 1563-1616', 'author_id': 'A3130'}","1"
"Gentili, Scipione, 1563-1616.","{'authorized_name': 'gentili, scipione, 1563-1616', 'author_id': 'A3130'}","3"
"Georgius Trapezuntius","{'authorized_name': 'george, of trebizond, 1396-1486', 'author_id': 'A3280'}","1"
"Georgius Trapezuntius.","{'authorized_name': 'george, of trebizond, 1396-1486', 'author_id': 'A3280'}","2"
"Gerhoh, of Reichersberg, Provost of Reichersberg, approximately 1093-1169","{'authorized_name': 'gerhoh, of reichersberg, provost of reichersberg', 'author_id': 'A5193'}","1"
"Gerson, Jean, 1363-1429","{'authorized_name': 'gerson, jean, 1363-1429', 'author_id': 'A3738'}","3"
"Gerson, Jean, 1363-1429.","{'authorized_name': 'gerson, jean, 1363-1429', 'author_id': 'A3738'}","7"
"Gesner, Konrad, 1516-1565.","{'authorized_name': 'gessner, conrad, 1516-1565', 'author_id': 'A5603'}","4"
"Giberti, Giovanni Matteo, 1495-1543","{'authorized_name': 'giberti, giovanni matteo, 1495-1543', 'author_id': 'A3969'}","1"
"Giles, of Rome, Archbishop of Bourges, approximately 1243-1316.","{'authorized_name': 'giles, of rome, archbishop of bourges, approximately 1243-1316', 'author_id': 'A4398'}","3"
"Giles, of Rome, Archbishop of Bourges, ca. 1243-1316.","{'authorized_name': 'giles, of rome, archbishop of bourges, approximately 1243-1316', 'author_id': 'A4398'}","1"
"Gilles, de Corbeil, active 1200","{'authorized_name': 'gilles, de corbeil, active 1200', 'author_id': 'A3919'}","1"
"Giovanni d'Andrea, approximately 1270-1348.","{'authorized_name': ""giovanni d'andrea, approximately 1270-1348"", 'author_id': 'A4388'}","1"
"Giraldi, Giglio Gregorio, 1479-1552","{'authorized_name': 'giraldi, lilio gregorio, 1479-1552', 'author_id': 'A3950'}","1"
"Giraldus, Cambrensis, 1146?-1223?","{'authorized_name': 'giraldus, cambrensis', 'author_id': 'A5191'}","15"
"Gneist, Rudolph, 1816-1895,","{'authorized_name': 'gneist, rudolph, 1816-1895', 'author_id': 'A6210'}","2"
"Gottschalk, of Orbais, approximately 803-approximately 867.","{'authorized_name': 'gottschalk, of orbais, approximately 803-approximately 867', 'author_id': 'A5188'}","1"
"Graevius, Joannes Georgius, 1632-1703.","{'authorized_name': 'graevius, joannes georgius, 1632-1703', 'author_id': 'A6032'}","1"
"Grattius, Faliscus.","{'authorized_name': 'grattius, faliscus', 'author_id': 'A4624'}","2"
"Gregory I, Pope, ca. 540-604.","{'authorized_name': 'gregory i, pope', 'author_id': 'A4981'}","1"
"Gregory, Bishop of Tours, Saint, 538-594.","{'authorized_name': 'gregory, bishop of tours, saint', 'author_id': 'A5257'}","7"
"Gregory, Saint, Bishop of Tours, 538-594","{'authorized_name': 'gregory, bishop of tours, saint', 'author_id': 'A5257'}","1"
"Gretser, Jakob, 1562-1625","{'authorized_name': 'gretser, jakob, 1562-1625', 'author_id': 'A3957'}","27"
"Gretser, Jakob, 1562-1625.","{'authorized_name': 'gretser, jakob, 1562-1625', 'author_id': 'A3957'}","26"
"Gronovius, Jacobus, 1645-1716","{'authorized_name': 'gronovius, jacobus, 1645-1716', 'author_id': 'A3314'}","1"
"Gronovius, Joannes Fredericus, 1611-1671","{'authorized_name': 'gronovius, joannes fredericus, 1611-1671', 'author_id': 'A3995'}","2"
"Gronovius, Joannes Fredericus, 1611-1671.","{'authorized_name': 'gronovius, joannes fredericus, 1611-1671', 'author_id': 'A3995'}","6"
"Gronovius, Johannes Fredericus, 1686-1762.","{'authorized_name': 'gronovius, joannes fredericus, 1611-1671', 'author_id': 'A3995'}","2"
"Grotius, Hugo, 1583-1645","{'authorized_name': 'grotius, hugo, 1583-1645', 'author_id': 'A4206'}","10"
"Grotius, Hugo, 1583-1645.","{'authorized_name': 'grotius, hugo, 1583-1645', 'author_id': 'A4206'}","52"
"Gruner, Johann Friedrich, 1723-1778.","{'authorized_name': 'gruner, johann friedrich, 1723-1778', 'author_id': 'A6060'}","1"
"Guarino, Veronese, 1374-1460","{'authorized_name': 'guarino, veronese, 1374-1460', 'author_id': 'A3982'}","1"
"Guibert de Nogent, 1053-Ca. 1124.","{'authorized_name': 'guibert, abbot of nogent-sous-coucy', 'author_id': 'A5194'}","1"
"Gundermann, Gotthold, 1856-1921","{'authorized_name': 'gundermann, gotthold, 1856-1921', 'author_id': 'A5665'}","2"
"Gundermann, Gotthold, 1856-1921.","{'authorized_name': 'gundermann, gotthold, 1856-1921', 'author_id': 'A5665'}","2"
"Haase, Friedrich, 1808-1867","{'authorized_name': 'haase, friedrich, 1808-1867', 'author_id': 'A3320'}","1"
"Haase, Friedrich, 1808-1867.","{'authorized_name': 'haase, friedrich, 1808-1867', 'author_id': 'A3320'}","2"
"Hagen, Hermann, 1844-1898,","{'authorized_name': 'hagen, hermann, 1844-1898', 'author_id': 'A6213'}","1"
"Hagen, Hermann, 1844-1898.","{'authorized_name': 'hagen, hermann, 1844-1898', 'author_id': 'A6213'}","3"
"Haller, Albrecht von, 1708-1777.","{'authorized_name': 'haller, albrecht von 1708-1777', 'author_id': 'A3431'}","6"
"Hanke, Friedrich.","{'authorized_name': 'ranke, friedrich, 1882-1950', 'author_id': 'A6267'}","1"
"Hardouin, Jean (S.I.)","{'authorized_name': 'hardouin, jean, 1646-1729', 'author_id': 'A3406'}","1"
"Harvey, William, 1578-1657.","{'authorized_name': 'harvey, william, 1578-1657', 'author_id': 'A4164'}","1"
"Haupt, Moriz, 1808-1874","{'authorized_name': 'haupt, moriz, 1808-1874', 'author_id': 'A6101'}","1"
"Haupt, Moriz, 1808-1874.","{'authorized_name': 'haupt, moriz, 1808-1874', 'author_id': 'A6101'}","2"
"Haymo, Bishop of Halberstadt, -853.","{'authorized_name': 'haymo, bishop of halberstadt, -853', 'author_id': 'A4486'}","2"
"Heinsius, Daniel, 1580-1655.","{'authorized_name': 'heinsius, daniel, 1580-1655', 'author_id': 'A3951'}","2"
"Heinsius, Nicolaas, 1620-1681.","{'authorized_name': 'heinsius, nicolaas, 1620-1681', 'author_id': 'A5937'}","1"
"Herberstein, Sigmund von, 1486-1566.","{'authorized_name': 'herberstein, sigmund, freiherr von, 1486-1566', 'author_id': 'A3691'}","1"
"Herbert, of Bosham, active 12th century.","{'authorized_name': 'herbert, of bosham, active 12th century', 'author_id': 'A5106'}","3"
"Hermann, Karl Friedrich, 1804-1855.","{'authorized_name': 'hermann, karl friedrich, 1804-1855', 'author_id': 'A3488'}","1"
"Hertz, Martin.","{'authorized_name': 'hertz, martin', 'author_id': 'A3478'}","1"
"Higden, Ranulf, -1364.","{'authorized_name': 'higden, ranulf, -1364', 'author_id': 'A4317'}","1"
"Hilario de Poitiers, Santo, 315?-367?","{'authorized_name': 'hilary, saint, bishop of poitiers, -367?', 'author_id': 'A5124'}","4"
"Hilary, Saint, Bishop of Poitiers, -367?","{'authorized_name': 'hilary, saint, bishop of poitiers, -367?', 'author_id': 'A5124'}","1"
"Hilary, Saint, Bishop of Poitiers, d. 367?","{'authorized_name': 'hilary, saint, bishop of poitiers, -367?', 'author_id': 'A5124'}","3"
"Hildegard, Saint, 1098-1179","{'authorized_name': 'hildegard, saint', 'author_id': 'A5094'}","1"
"Hincmar, Archbishop of Reims, approximately 806-882","{'authorized_name': 'hincmar, archbishop of reims', 'author_id': 'A5135'}","4"
"Hirtius, Aulus.","{'authorized_name': 'hirtius, aulus', 'author_id': 'A4622'}","1"
"Hobbes, Thomas, 1588-1679.","{'authorized_name': 'hobbes, thomas, 1588-1679', 'author_id': 'A4195'}","22"
"Holder, Alfred, 1840-1916.","{'authorized_name': 'holder, alfred, 1840-1916', 'author_id': 'A3218'}","1"
"Horace","{'authorized_name': 'horace', 'author_id': 'A4876'}","196"
"Horace.","{'authorized_name': 'horace', 'author_id': 'A4876'}","304"
"Hortensius, Lambertus, 1500 or 1501-1574.","{'authorized_name': 'hortensius, lambertus, 1500 or 1501-1574', 'author_id': 'A3910'}","1"
"Hosius, Carl, 1866-1937","{'authorized_name': 'hosius, carl, 1866-1937', 'author_id': 'A3503'}","1"
"Hotman, François, 1524-1590","{'authorized_name': 'hotman, françois, 1524-1590', 'author_id': 'A5975'}","1"
"Hotman, François, 1524-1590.","{'authorized_name': 'hotman, françois, 1524-1590', 'author_id': 'A5975'}","3"
"Hrotsvitha, ca. 935-ca. 975.","{'authorized_name': 'hrotsvitha', 'author_id': 'A5200'}","2"
"Huet, Pierre-Daniel, 1630-1721.","{'authorized_name': 'huet, pierre-daniel, 1630-1721', 'author_id': 'A3941'}","1"
"Hugh, of Saint-Cher, Cardinal, approximately 1200-1263.","{'authorized_name': 'hugh, of saint-cher, cardinal', 'author_id': 'A5378'}","1"
"Hugh, of Saint-Victor, 1096?-1141.","{'authorized_name': 'hugh, of saint-victor, 1096?-1141', 'author_id': 'A5587'}","1"
"Hugo, Herman (S.I.)","{'authorized_name': 'hugo, herman, 1588-1629', 'author_id': 'A3911'}","3"
"Hugo, Herman, 1588-1629.","{'authorized_name': 'hugo, herman, 1588-1629', 'author_id': 'A3911'}","4"
"Hugues de Saint-Victor.","{'authorized_name': 'hugh, of saint-victor, 1096?-1141', 'author_id': 'A5587'}","5"
"Hume, David, 1560?-1630?","{'authorized_name': 'hume, david, 1560?-1630?', 'author_id': 'A5617'}","2"
"Hussowski, Mikołaj, approximately 1475-1522","{'authorized_name': 'hussowski, mikołaj, approximately 1475-1522', 'author_id': 'A3924'}","1"
"Hutten, Ulrich von, 1488-1523.","{'authorized_name': 'hutten, ulrich von, 1488-1523', 'author_id': 'A5581'}","35"
"Huygens, Christiaan, 1629-1695","{'authorized_name': 'huygens, christiaan, 1629-1695', 'author_id': 'A4138'}","1"
"Huygens, Christiaan, 1629-1695.","{'authorized_name': 'huygens, christiaan, 1629-1695', 'author_id': 'A4138'}","1"
"Hyginus, C. Julius","{'authorized_name': 'hyginus, c. julius', 'author_id': 'A3487'}","1"
"Hyginus, C. Julius.","{'authorized_name': 'hyginus, c. julius', 'author_id': 'A3487'}","3"
"Hyginus, Gromaticus,","{'authorized_name': 'hyginus, gromaticus', 'author_id': 'A4606'}","2"
"Hyginus, Gromaticus.","{'authorized_name': 'hyginus, gromaticus', 'author_id': 'A4606'}","6"
"Ildefonso, Santo, 607-667.","{'authorized_name': 'ildephonsus, saint', 'author_id': 'A5513'}","1"
"Innocent III, Pope, 1160 or 1161-1216","{'authorized_name': 'innocent iii, pope, 1160 or 1161-1216', 'author_id': 'A3388'}","2"
"Inocencio III, Papa, 1160-1216","{'authorized_name': 'innocent iii, pope, 1160 or 1161-1216', 'author_id': 'A3388'}","1"
"Inocencio III, Papa, 1160-1216.","{'authorized_name': 'innocent iii, pope, 1160 or 1161-1216', 'author_id': 'A3388'}","1"
"Isidore, of Seville, Saint, -636.","{'authorized_name': 'isidore, of seville, saint', 'author_id': 'A5183'}","9"
"Isidore, of Seville, Saint, d. 636.","{'authorized_name': 'isidore, of seville, saint', 'author_id': 'A5183'}","5"
"Isidoro, Santo, Arzobispo de Sevilla, 560-636","{'authorized_name': 'isidore, of seville, saint', 'author_id': 'A5183'}","4"
