author,dll_author_id
"Dornau, Caspar, 1577-1632",A4035
"Dorpius, Martinus, 1485-1525",A4045
"Geoffrey, of Coldingham, active 13th century",A4023
"Lokert, George, 1485-1547",A4004
"Ripley, George, -1490?",A4031
"Cuthbert, Abbot of Wearmouth",A4052
"Tunstall, Cuthbert, 1474-1559",A4062
"Cranston, David",A4073
"Beckher, Daniel, 1594-1655",A4058
"Benci, Francesco, 1542-1594",A4077
"Bodecher Benningh, Johan, 1606-1642",A4053
"Bernegger, Matthias, 1582-1640",A4063
"Biondo, Flavio, 1392-1463",A4049
"Bisse, Thomas, -1731",A4059
"Bodin, Jean, 1530-1596",A4074
"Boece, Hector, 1465?-1536",A4079
"Bona, Giovanni, 1609-1674",A4056
"Braccesi, Alessandro, 1445-1503",A4078
"Brandolini, Aurelio Lippo, -1497 or 1498",A4054
"Brant, Sebastian, 1458-1521",A4064
"Bugnot, Gabriel, -1673",A4050
"Lacy, Edmund, approximately 1370-1455",A4060
"Camden, William, 1551-1623",A4061
"Casaubon, Isaac, 1559-1614",A4057
"Soppeth, Edward",A4055
"Upton, Edward",A4065
"Elias, of Thriplow, active 13th century",A4043
"Arnulf I, Count of Flanders, approximately 900-965",A4039
"Felix, active 8th century",A4040
"Cortesi, Paolo, 1465-1510",A4046
"Crashaw, Richard, 1613?-1649",A4044
"Curlo, Giacomo, active 1423-1467",A4041
"Dati, Agostino, 1420-1478",A4038
"Diedo, Francesco, -1484",A4047
"Gervase, of Canterbury, approximately 1141-approximately 1210",A4042
"Baldwin, Archbishop of Canterbury, approximately 1120-1190",A4108
"Bartholomew, Bishop of Exeter,-1184",A4097
"Comenius, Johann Amos, 1592-1670",A4083
"Agricola, Rodolphus, 1443?-1485",A4109
"Alegre, Francisco Javier, 1729-1788",A4084
"Clement, of Llanthony",A4081
"Angeriano, Girolamo, active 16th century",A4110
"Aventinus, Johannes, 1477-1534",A4082
"Barzizza, Gasparino, approximately 1360-1431",A4080
"Edmund, of Abingon, Saint, Archbishop of Canterbury, approximately 1170-1240",A4070
"Bernoulli, Jakob, 1654-1705",A4089
"Boyd, Mark Alexander, 1562-",A4071
"Bridges, John, -1618",A4090
"Brinsley, John, active 1581-1624",A4096
"Fox, Edward, 1496?-1538",A4069
"Canonieri, Pietro Andrea, -1639",A4066
"Cardulo, Fulvio 1526-1591",A4068
"Casteele, Peeter vande, 1585-1632",A4085
"Castiglionchio, Lapo da, -1381",A4067
"Powell, Edward, 1478?-1540",A4072
"Mariana, Juan de 1536-1624",A4135
"Thou, Jacques-Auguste de, 1553-1617",A4086
"Kircher, Athanasius, 1602-1680",A4106
"Bèze, Théodore de, 1519-1605",A4103
"Benedict, Abbot of Peterborough, -1193",A4112
"Secundus, of Athens",A4136
"Alberti, Leon Battista, 1404-1472",A4087
"Caradoc, of Llancarvan, -1147?",A4107
"Saint German, Christopher, 1460?-1540",A4104
"Urswick, Christopher, 1448?-1522",A4113
"Andrelini, Publio Fausto, 1462-1518",A4101
"Nanni, Giovanni, 1432?-1502",A4088
"Arsilli, Francesco",A4105
"Barth, Kaspar von, 1587-1658",A4102
"Bartholin, Thomas, 1616-1680",A4111
"Bauhuis, Bernard",A4134
"Daniel, of Beccles",A4093
"Mancinus, Dominicus, active 1478-1491",A4091
"Blarru, Pierre de 1437-1510",A4094
"Bordini, Giovanni Francesco, approximately 1536-1609",A4092
"Verancsics, Antal, 1504-1573",A4155
"Maldonado, Juan de 1534-1583",A4153
"Sterne, Laurence, 1713-1768",A4150
"Arcoid, Canon of St. Paul's, active 1132-1142",A4137
"Suárez, Francisco, 1548-1617",A4125
"Trigault, Nicolas, 1577-1628",A4131
"Martini, Martino, 1614-1661",A4115
"Jaurés, Jean, 1859-1914",A4129
"Ruhnkenius, David, 1723-1798",A4100
"Andreas, Bernard, active 1500",A4126
"Agrippa von Nettesheim, Heinrich Cornelius, 1486?-1535",A4098
"Alciati, Andrea, 1492-1550",A4132
"Aldrovandi, Ulisse, 1522-1605?",A4116
"Ceolfrid, of Wearmouth, Saint, 642-716",A4130
"Vitelli, Cornelio, active approximately 1490",A4117
"Cummian, Saint",A4127
"Anisio, Giano, approximately 1472-approximately 1541",A4099
"Ariosto, Lodovico, 1474-1533",A4133
"Avancini, Nicolaus von, 1611-1686",A4114
"Urban VIII, Pope, 1568-1644",A4118
"Utenhove, Karl von, 1536-1600",A4149
"Wolff, Christian, Freiherr von, 1679-1754",A4167
"Glass, Francis, 1790-1824",A4157
"Copernicus, Nicolaus, 1473-1543",A4141
"Harvey, William, 1578-1657",A4164
"Huygens, Christiaan, 1629-1695",A4138
"Galvani, Luigi, 1737-1798",A4156
"Alexander, of Hales, approximately 1185-1245",A4151
"Mylne, Alexander, 1474-1548?",A4139
"Beccaria, Antonio, approximately 1400-1474",A4163
"Peano, Giuseppe, 1858-1932",A4154
"Morcillo, Sebastián Fox, approximately 1526-approximately 1560",A4152
"Sánchez de las Brozas, Francisco, 1523-1601",A4140
"Ricci, Matteo, 1552-1610",A4121
"Fux, Johann Joseph, 1660-1741",A4119
"Irenaeus, Saint, Bishop of Lyon",A4122
"Alembert, Jean Le Rond d', 1717-1783",A4120
"Bruni, Leonardo, 1369-1444",A4123
"Baerle, Caspar van, 1584-1648",A4128
"Baudouin, François, 1520-1573",A4124
"Angela, of Foligno, 1248?-1309",A4183
"Loër, Dirk, approximately 1495-1554",A4174
"Olivier, François, 1497-1560",A4181
"Stretzinger, Thomas, -1523",A4179
"Maldonado, Juan, approximately 1485-1554",A4148
"Sigea, Luisa, 1530?-1560?",A4166
"Widl, Rufinus, 1731-1798",A4165
"Gilbert, William, 1544-1603",A4171
"Reede tot Drakestein, Hendrik van, 1637?-1691",A4145
"Euler, Leonhard, 1707-1783",A4169
"Brown, Robert, 1773-1858",A4143
"Alexander, Carpentarius, active 1429",A4172
"André, de Neufchâteau, active 14th century",A4170
"Arnold, of Strelley, -approximately 1347",A4144
"Martius, Karl Friedrich Philipp von, 1794-1868",A4168
"Hoeven, Jan van der 1802-1868",A4175
"Anghiera, Pietro Martire d', 1457-1526",A4142
"Servetus, Michael, 1511?-1553",A4173
"Pontanus, Johannes Isacius, 1571-1639",A4147
"Basinio, da Parma, 1425-1457",A4146
"Eppendorf, Heinrich, 1496-1551",A4186
"Hobbes, Thomas, 1588-1679",A4195
"Nicolaus Drukken, de Dacia, -approximately 1355",A4176
"Petrus Olai, of Alavastra, approximately 1307-approximately 1390",A4184
"Petrus, de Dacia, approximately 1235-1289",A4192
"Sæmundur fróði, 1056-1133",A4182
"Achard, de Saint-Victor, -approximately 1171",A4190
"Burley, Adam",A4180
"Cunich, Raimondo, 1719-1794",A4187
"Adam, of Domerham, active 13th century",A4196
"Orleton, Adam de, -1345",A4188
"Wodeham, Adam, -1358",A4178
"Le Grand, Antoine, -1699",A4185
"Mersenne, Marin, 1588-1648",A4211
"Vadianus, Joachim, 1484-1551",A4160
"Milioli, Albertus",A4159
"Corvinus, Elias, 1537-1602",A4162
"Bidermann, Jakob, 1577 or 1578-1639",A4158
"Westonia, Elizabetha Johanna, 1582-1612",A4161
"Bernoulli, Daniel, 1700-1782",A4177
"Grotius, Hugo, 1583-1645",A4206
"Halewyn, Georges de, approximately 1470-1536 or 1537",A4216
"Rimbert, Saint, Archbishop of Hamburg and Bremen, approximately 830-888",A4201
"Ansgar, Saint, Archbishop of Hamburg and Bremen, approximately 801-865",A4209
"Adam, of Buckfield, approximately 1220-approximately 1294",A4199
"Adam, Scotus, approximately 1130-1212",A4207
"Zamagna, Bernardo, 1735-1820",A4217
"Jansenius, Cornelius, 1585-1638",A4203
"Istvánffy, Miklós, 1538-1615",A4193
"Easton, Adam, -1397",A4210
"Adam, of Usk, active 1400",A4197
"Elfwald II, King of Northumbria, active 806-808",A4204
"Lawrence, of Brindisi, Saint, 1559-1619",A4214
"Lipsius, Justus, 1547-1606",A4194
"Aethelwald, Bishop of Litchfield, -830",A4191
"Opitz, Martin, 1597-1639",A4208
"Sepúlveda, Juan Ginés de, 1490-1573",A4189
"Spangenberg, Johann",A4198
"Stieröxel, István, approximately 1485-1519",A4205
"Torrentius, Laevinus, 1525-1595",A4215
"Gassendi, Pierre, 1592-1655",A4226
"Hildebrandi, Johannes, -1454",A4236
"Ragvaldsson, Nils",A4223
"Oddr Snorrason, active 12th century",A4212
"Jansenius, Cornelius, 1510-1576",A4213
"Casas, Bartolomé de las, 1484-1566",A4202
"Oláh, Miklós, 1493-1568",A4221
"Aethelwulf, active 803",A4200
"Pelacani da Parma, Biagio, approximately 1347-1416",A4227
Proba,A4231
"Symphorian, of Autun, Saint",A4244
"Theodosius I, Emperor of Rome",A4232
"Andreä, Johann Valentin, 1586-1654",A4229
"Cajetan, Tommaso de Vio, 1469-1534",A4256
"Calvin, Jean, 1509-1564",A4225
"Campanella, Tommaso, 1568-1639",A4235
Victorinus Poeta,A4224
"Victorius, Aquitanus",A4233
"Ericus Olai, -1486",A4251
"Benechini, Johannes",A4230
"Rufus, Sextus",A4275
"Augustinus, de Dacia, -1285",A4246
"Bero Magni, de Ludosia",A4255
"Theodulus, active 9th century",A4252
"Quiricus, of Barcelona",A4241
Rufinus,A4249
"Serenus Sammonicus, Quintus",A4238
Terentianus Maurus,A4253
"Victor, of Ténès",A4250
"Gillis, Pierre, 1486-1533",A4259
"Andronicus, Matthaeus",A4239
"Rhenanus, Beatus, 1485-1547",A4247
"Faber, Ulrich Rhaetus",A4245
"Carrara, Ubertino, 1642-1716",A4254
"Ursino‏, de Ligugé",A4272
"Cybeleius, Valentinus, approximately 1490-",A4240
"Brask, Hans, 1464-1538",A4248
"Frankfurter, Bartholomeus, 1490?-",A4257
"Adam II, Abbot of Dore, active 1216-1226",A4243
"Meara, Dermitius",A4242
"Messianus, of Arles",A4277
Antonius Musa,A4274
"Paulinus, of Béziers",A4278
"Pompeius, active 5th century-6th century",A4284
"Heinitz, Ernst, 1902-1998",A4271
"Nider, Johannes, approximately 1380-1438",A4276
"John Dumbleton, approximately 1310-1349",A4266
"Birger Gregersson, Archbishop of Uppsala, 1327?-1383",A4263
"Laurentii de Holmis, Christopherus, approximately 1400-1464",A4273
Pseudo-Priscianus,A4261
"Redemptus, clericus Hispalensis",A4269
"Sacerdos, Marius Plotius",A4258
"Sulpicius, Victor",A4264
Pseudo-Tertullian,A4262
"Theodosius II, Emperor of Rome",A4281
"Tírechán, Saint",A4270
"Baumgarten, Alexander Gottlieb, 1714-1762",A4267
"Cano, Melchor, 1509?-1560",A4265
"Gunnlaugur Leifsson, -1218",A4260
"Du Bellay, Joachim, approximately 1522-1560",A4268
"Palladius, Rutilius Taurus Aemilianus",A4315
"Stephen, the Deacon",A4292
"Leo VI, Emperor of the East",A4297
"Papirianus, Quintus",A4286
"Paulinus, of Pella",A4293
Pomponius Porphyrio,A4290
"Radulphus, Brito, active 1295-1320",A4301
"Colonne, Guido delle, active 13th century",A4287
"Macarius, of Alexandria, Saint, active 4th century",A4279
"Macarius, the Egyptian, Saint, active 4th century",A4294
"Campeggi, Lorenzo, 1474-1539",A4285
"Mykonius, Oswald, 1488-1552",A4291
"Negri, Francesco, 1452-approximately 1523",A4289
"Piccolomini, Enea Silvio, 1405-1464",A4288
"Albertus, de Saxonia, -1390",A4280
"Manuzio, Aldo, 1547-1597",A4295
"Heytesbury, William, active 1340",A4296
"Honorius III, Pope, -1227",A4283
"Ursin, de Bourges",A4282
"Agnes, Princess of Bohemia, 1211-1282",A4337
"Balbi, Giovanni, -1298",A4314
"Benzo, d'Alessandria, active 1300-1330",A4311
"Zonaras, Joannes",A4309
"Gower, John, 1325?-1408",A4318
Caecilius Balbus,A4312
"Bernardino, da Siena, Saint, 1380-1444",A4310
"Thomas, à Kempis, 1380-1471",A4319
"Cochlaeus, Johannes, 1479-1552",A4316
"Giocondo, Giovanni, approximately 1433-1515",A4313
Muirchú maccu Macthéni,A4303
Mustio,A4308
"Joannes, de Sancto-Geminiano, -approximately 1314",A4306
"Dominicus, de Sancto Geminiano, approximately 1375-1425",A4298
"Marsilius, of Inghen, -1396",A4300
"Vermigli, Pietro Martire, 1499-1562",A4302
"Vives, Juan Luis, 1492-1540",A4307
"Martinus, de Dacia, -1304",A4299
"Bucer, Martin, 1491-1551",A4304
Reposianus,A4305
"Salimbene, da Parma, 1221-1287",A4357
"Gregory IX, Pope, approximately 1170-1241",A4320
"Richer, of Saint-Rémy",A4328
"Bergomas, Andreas",A4346
"Rolle, Richard, 1290?-1349",A4334
"Thomas, von Erfurt, active 14th century",A4324
"FitzRalph, Richard, -1360",A4331
"Bartolo, of Sassoferrato, 1313-1357",A4321
"Alfonsus Bonhiminis, Bishop of Marrakech, -1353",A4329
Maximianus,A4335
Polybius,A4344
"Radewijns, Florent",A4325
"Kirkestede, Henry, approximately 1314-1378",A4332
"Marcus Aurelius, Emperor of Rome, 121-180",A4322
"Paolo, Veneto, approximately 1370-1428",A4330
"Nebrija, Antonio de, 1444?-1522",A4327
"Poliziano, Angelo, 1454-1494",A4336
"Herolt, Johann",A4326
"Polentone, Sicco",A4333
"Mallius Theodorus, Flavius",A4323
Pseudo-Hilarius,A4361
"Joannes, Tomitanus",A4356
"Duranti, William, -1330?",A4359
"Riccobaldus, Ferrariensis",A4358
"Nemesianus, Marcus Aurelius Olympius",A4347
"William, of Ockham, approximately 1285-approximately 1349",A4354
"Bersuire, Pierre, approximately 1290-1362",A4343
"Mattias, -1350",A4351
"Ludolf, von Sachsen, approximately 1300-1377 or 1378",A4340
"Boccaccio, Giovanni, 1313-1375",A4348
"Wycliffe, John, -1384",A4338
"Ficino, Marsilio, 1433-1499",A4355
"Ailly, Pierre d', 1350-1420",A4352
"Thomas of Elmham, 1364-1440?",A4341
Nonius Marcellus,A4349
"Theodricus, active 12th century",A4339
"Segovia, Juan de, 1393-1458",A4345
"Bibliander, Theodorus, approximately 1504-1564",A4353
"Postel, Guillaume, 1510-1581",A4342
"Martiwros, Saint",A4350
"Gregory, of Elvira, Saint",A4376
"Adrian I, Pope",A4391
"Arnold, of Lübeck, -1212",A4373
"Jacques, de Vitry, 1170-1240",A4369
Pseudo-Iohannes Chrysostomus;Chrysostomus Latinus,A4367
Maxentius,A4377
"Rufinianus, Julius",A4374
"Bottoni, Bernardo, -1266",A4370
"Ubaldi, Baldo degli, 1327?-1400",A4384
"Llull, Ramon, 1232?-1316",A4362
"Lucas, Bishop of Túy, -approximately 1249",A4371
Liberatus Scholasticus,A4360
"Jacobus, de Cessolis, active 1288-1322",A4368
"Mussato, Albertino, 1261-1329",A4375
"Albert, von Stade, -approximately 1260",A4385
"Nicholas, of Lyra, approximately 1270-1349",A4363
"Marsh, Adam, -1259",A4372
"Martí, Ramón, -approximately 1286",A4364
"Johannes, de Caulibus, active 14th century",A4365
"Torquemada, Juan de, 1388-1468",A4366
"Burchardus, Abbot of Bellevaux, -1163",A4414
"Grosseteste, Robert, 1175?-1253",A4411
Eusebius of Alexandria,A4415
Florentius Tricastinus,A4409
"Alfred, of Sareshel",A4413
"Bartholomaeus, Anglicus, active 13th century",A4386
Hermas,A4382
"Bacon, Roger, 1214?-1294",A4387
Pseudo-Hyginus,A4396
"Bonaventure, Saint, Cardinal, approximately 1217-1274",A4379
"Jacobus, de Voragine, 1229-1298",A4405
"Idalius, of Barcelona",A4394
"Julian, of Eclanum",A4392
"Julius Victor, C. (Gaius)",A4383
Lathcen,A4397
"Leodegar, Saint, Bishop of Autun",A4380
"Julian, of Speyer, -approximately 1250",A4395
"Geremia, da Montagnone, approximately 1250-approximately 1321",A4378
"Henry, of Avranches, active 13th century",A4393
"Hoveden, John, -1275",A4381
"Plato, Tiburtinus, active 12th century",A4407
"Ogier, of Locedio, Abbot of Locedio",A4416
"John Sarazin, active 12th century",A4423
"Guigo II, -1188",A4435
"Azo, Portius, -approximately 1230",A4408
"Vincent, of Beauvais, -1264",A4417
Eutyches,A4424
Eugraphius,A4436
Fastidiosus Arianus,A4412
"Fortunatianus, Bishop of Aquileia",A4430
"Albricus, philosophus, active 13th century",A4410
"Paris, Matthew, 1200-1259",A4403
"Berthold, von Regensburg, approximately 1210-1272",A4400
"Jonas, of Bobbio, Abbot, -approximately 665",A4426
"Durand, Guillaume, approximately 1230-1296",A4401
"Giles, of Rome, Archbishop of Bourges, approximately 1243-1316",A4398
"Licentius, of Tagaste",A4406
"Gertrude, the Great, Saint, 1256-1302",A4404
"Gauterus de Wymburnia, active 13th century",A4402
"Thomas, Waleys, approximately 1287-1350?",A4399
"William, of Saint-Thierry, Abbot of Saint-Thierry, approximately 1085-1148?",A4454
"Andreas, de Sancto Victore, approximately 1110-1175",A4452
"Bernard Silvestris, active 1136",A4431
"Léonin, active 12th century",A4428
"Walter, of Saint-Victor, active 1173",A4420
"Odo, of Cheriton, -1247",A4432
Euanthius,A4429
Favonius Eulogius,A4421
"Felicis Toletani, -702?",A4449
"Flavien, de Châlon-sur-Saône",A4433
"Florien‏, de Romain-Moutier",A4418
"Fortunatianus, Chirius",A4445
"Marcus, Tolletanus, active 1191-1216",A4437
Frigulus,A4422
"Eberhardus, Bremensis, active 13th century",A4440
"Fructuosus, Saint, Archbishop of Braga",A4427
"Fulgentius, Fabius Planciades",A4434
"Gallus, Anonymus",A4419
Grillius (Grammarian),A4425
"Namatianus, Claudius Rutilius, active 5th century",A4453
"Desiderius, Saint, Bishop of Cahors",A4456
"Eligius, Saint",A4461
"Arn, Archbishop of Salzburg",A4471
"Cornutus, Lucius Anneaus, active 1st century",A4459
"Oswald, Saint, -992",A4457
"Guillaume, de Champeaux, Bishop, 1070?-1121",A4472
"Alanus, de Insulis",A4458
"Geoffrey, of Vitrey, active 12th century",A4455
"Gherardo, da Creomona, 1113 or 1114-1187",A4469
"Averroës, 1126-1198",A4447
"Hermann, of Carinthia",A4443
"Langton, Stephen, -1228",A4438
"Sunesen, Anders, -1228",A4441
"Jiménez de Rada, Rodrigo, approximately 1170-1247",A4450
"Svend Aagesen, approximately 1130-",A4448
"Evagrius, Monachus",A4444
"Eusebius Hwaetbert, of Wearmouth",A4439
"Eugenius, of Carthage",A4442
"Pseudo-Eugenio, di Toledo",A4451
"Gratian, Emperor of Rome",A4446
"Constantine, the African, approximately 1020-1087",A4463
"Lambert, le chanoine, active 11th century-12th century",A4496
"Agnellus, of Ravenna (Physician)",A4466
"Agobard, Saint",A4476
"Alcher, de Clairvaux",A4494
"Aldobrandinus, de Toscanella",A4464
"Alexander, of Ashby",A4473
"Robert, of Chester, active 1143",A4460
"Alexander III, Pope",A4497
Ambrosius Autpertus,A4467
"Gilbertus, Universalis, -1134",A4477
Defensor,A4474
Diomedes (Grammarian),A4483
"Emporius, Orator",A4470
"Cato, Dionysius",A4479
"Charles IV, Holy Roman Emperor, 1316-1378",A4462
"Columba, Saint, 521-597",A4468
"Dunstan, Saint, 909-988",A4465
"Widukind, of Corvey, approximately 925-approximately 973",A4475
"Paulinus, of Nola, Saint, approximately 353-431",A4499
"Achilles, of Spoleto",A4510
"Aphthonius, active 4th century-5th century",A4514
Avianus,A4508
"Cellanus, of Péronne, -706",A4515
"Donatus, Tiberius Claudius",A4491
"Gerardus, Cameracensis, approximately 980-1051",A4492
Martianus Capella,A4501
"Luxorius, 6th century",A4489
"Egbert, Saint, -766",A4478
"Haymo, Bishop of Halberstadt, -853",A4486
"Haimo, of Auxerre, -approximately 855",A4495
"Ethelwerd, -998?",A4484
"Bata, Aelfric",A4493
"Adelard, of Bath, approximately 1090-approximately 1160",A4480
"Ælnoth, monk of St. Augustine, Canterbury, active 1085-1109",A4487
"Albuin, of Säben-Brixen, Saint",A4485
"Stephanus, Antiochenus, active 1127",A4482
"Héloïse, 1095-1163 or 1164",A4490
"Hilarius, Aurelianensis, approximately 1075-1140?",A4481
"Elisabeth, of Schönau, Saint, approximately 1129-1164",A4488
"Turpilius, Sex. (Sextus)",A4507
"Valerius Antias, Quintus",A4516
"Varro, Marcus Terentius",A4504
Velius Longus,A4513
Egeria,A4519
Anthimus,A4505
"Apuleius, Barbarus",A4502
Archidiaconus Romanus Anonymus,A4511
Audax,A4530
Baudonivia,A4517
Burginda,A4536
"Caper, Flavius",A4506
"Charisius, Flavius Sosipater",A4524
"Chilpéric I, King of the Franks",A4534
"Claudianus, Claudius",A4503
Pseudo-Claudianus,A4512
"Colman, Saint",A4531
Cummian,A4509
"Nennius, active 796",A4500
"Priscian, active approximately 500-530",A4498
"Oppius, C.",A4557
Ticidas,A4550
"Trajan, Emperor of Rome",A4528
Valerius Maximus,A4545
"Valerius Soranus, Q. (Quintus)",A4525
"Varro Atacinus, P. Terentius (Publius Terentius)",A4535
Velleius Paterculus,A4542
Veranius,A4522
Volcacius Sedigitus,A4532
Anonymus ad Cuimnanum,A4529
Apponius,A4523
"Apringius, Bishop of Beja",A4533
"Asterius, of Ansedunum",A4520
"Bobolenus, Abbot of Bobbio",A4526
"Victor, Claudius Marius",A4541
Cledonius,A4521
"Cyprian, Saint, Bishop of Toulon",A4518
"Firmin,‏ of Uzès",A4547
"Viventius, of Lyon",A4527
Cyprianus Gallus,A4537
"Theodoric, of Fleury",A4556
"Laurentius, of Monte Cassino",A4570
"Alan, of Tewkesbury",A4551
"Alan, of Farfa",A4577
"Ninnius, Crassus",A4567
Novius,A4549
Phaedrus,A4554
"Pomponius, L. (Lucius), Bononiensis",A4571
Porcius Licinus,A4552
Scribonius Largus,A4555
"Sisenna, L. Cornelius (Lucius Cornelius)",A4572
Staberius Eros,A4553
"Sulpicius Apollinaris, Gaius",A4569
"Aelius Tubero, Q. (Quintus)",A4538
"Agroecius, Bishop of Sens",A4548
Pseudo-Augustinus,A4539
Apicius,A4543
Arusianus Messius,A4540
Belisarius,A4546
Calcidius,A4544
"Frontinus, Sextus Julius",A4597
Mummius,A4566
"Naevius, Gnaeus",A4575
"Eugene III, Pope",A4561
"Nigidius Figulus, Publius",A4558
"Orbilius Pupillus, L. (Lucius)",A4564
"Pacuvius, Marcus",A4573
"Trogus, Pompeius",A4591
Pompilius,A4562
"Claudius Quadrigarius, Quintus",A4559
"Rutilius Lupus, Publius",A4568
"Rutilius Rufus, P. (Publius)",A4576
Santra,A4584
"Scaurus, Marcus Aemilius",A4565
"Terentius Scaurus, Q. (Quintus)",A4574
Pseudo-Seneca,A4582
"Ena, Sextilius",A4563
Sueius,A4589
"Sulla, Lucius Cornelius",A4560
Trabea,A4585
Cornelius Epicadus,A4598
"Gellius, Cn.",A4603
Lactantius Placidus,A4599
Pseudo-Calpurnius,A4604
"Andronicus, Livius",A4613
"Lutatius Catulus, Q. (Quintus), approximately 121 B.C.-approximately 60 B.C.",A4600
"Petrus, Diaconus, of Monte Cassino, approximately 1107-approximately 1140",A4601
"Memmius, C., -100 B.C.",A4596
"Angilbert, Abbot of Saint-Riquier, approximately 745-814",A4580
"Clotaire II, King of the Franks",A4587
"Novius, L. (Lucius)",A4595
"Opilius, Aurelius",A4583
"Pollio, Gaius Asinius",A4581
"Postumius Albinus, A. (Aulus)",A4578
"Probus, Marcus Valerius",A4588
Pseudo-Sallust,A4615
"Scaevola, Quintus Mucius, -82 B.C.",A4593
Sevius Nicanor,A4592
"Curtius Rufus, Quintus",A4602
"Constantine I, Emperor of Rome",A4611
"Marsus, Domitius",A4637
Egnatius,A4623
"Fabius Maximus Servilianus, Q.",A4608
Fabius Pictor,A4635
"Fronto, Marcus Cornelius",A4605
Gaius,A4619
Germanicus Caesar,A4612
"Grattius, Faliscus",A4624
"Prudentius, 348-",A4609
Cassius Hemina,A4636
"Hyginus, Gromaticus",A4606
"Laberius, D. (Decimus)",A4620
"Lucilius, Gaius, approximately 180 B.C.-approximately 102 B.C.",A4618
Luscius Lanuvinus,A4625
Lygdamus,A4614
"Maecianus, L. Volusius (Lucius Volusius)",A4610
"Mela, Pomponius",A4607
Titinius,A4616
"Malaterra, Goffredo",A4654
"Bury, Richard de, 1287-1345",A4650
"Sigebert, of Gembloux, approximately 1030-1112",A4640
"Dante Alighieri, 1265-1321",A4646
Balbus,A4647
Pseudo-Brutus,A4656
"Cinna, C. Helvius",A4645
"Ennius, Quintus",A4631
"Fannius, C. (Caius)",A4621
"Festus, Sextus Pompeius",A4628
"Furius Antias, A. (Aulus)",A4648
"Gallus, Gaius Cornelius",A4626
"Hadrian, Emperor of Rome",A4632
"Hirtius, Aulus",A4622
Baebius Italicus,A4629
Laevius,A4627
"Macer, C. Licinius (Caius Licinius)",A4639
"Maecenas, Gaius Cilnius",A4633
"Marullus, active 160",A4630
"Matius, Cn.",A4634
"Peter, of Blois, approximately 1135-approximately 1212",A4642
Anonymus Neveleti,A4669
"Leo, the Deacon",A4676
"Seneca, Lucius Annaeus, approximately 4 B.C.-65 A.D.",A4655
"Valerius, Aedituus",A4643
"Afranius, Lucius",A4673
Aprissius,A4651
Aquilius,A4661
"Arruntius, L. (Lucius)",A4641
"Asconius Pedianus, Quintus",A4670
Atilius,A4658
"Bibaculus, M. Furius (Marcus Furius)",A4674
"Caesar, Julius",A4644
"Caesar Strabo, C. Julius",A4671
Calpurnius Flaccus,A4652
"Piso Frugi, Lucius Calpurnius",A4662
"Coelius Antipater, Lucius",A4675
"Cornificius, Q. (Quintus)",A4653
Licinius Imbrex,A4649
"Coriolanus, Cnaeus Marcius",A4638
"Achardus, of Arroasia",A4696
"John, of Garland, approximately 1195-approximately 1272",A4694
"Maydeston, Clement, 1390-approximately 1456",A4685
"Oresme, Nicole, approximately 1320-1382",A4663
"Petrus, de Ebulo, active 1196",A4672
"Raoul, de Caen, 1080-1120",A4681
"Richer, of Saint-Rémy, active 10th century",A4660
"Thegan, Chorepiscopus of Trier, approximately 800-",A4679
"William, of Tyre, Archbishop of Tyre, approximately 1130-approximately 1190",A4689
"Boethius, of Dacia, active 13th century",A4666
"Accius, Lucius",A4664
"Asellio, Sempronius",A4677
Ateius Praetextatus L. (Lucius),A4687
"Atta, Titus Quinctius",A4667
"Brutus, M. Junius (Marcus Junius), active 146 B.C.-136 B.C.",A4683
Caecilius Statius,A4665
"Cato, Marcus Porcius",A4678
Pseudo-Cicero,A4688
"Cicero, Quintus Tullius",A4668
"Melancthon, Philipp",A4707
"Vega, Garcilaso de la",A4712
"May, Thomas",A4706
"Owen, John",A4705
"Kepler, Johannes",A4709
"Newton, Isaac",A4713
"Janus, Secundus",A4717
"Boym, Michał",A4704
"Spinoza, Benedictus de",A4708
"Navagero, Andrea",A4691
"Holberg, Ludvig",A4697
"Bourbon, Nicolas, 1503-1550",A4695
"Fava, Guido, approximately 1190-approximately 1245",A4693
"Falcando, Ugo, -approximately 1200",A4699
"Godfrey, of Winchester, approximately 1050-1107",A4692
"Constantine, of St. Symphorian",A4690
"Radolf, of Liège",A4686
"Claudius Caecus, App. (Appius)",A4682
Caesius Bassus,A4680
"Calvus, C. Licinius Macer",A4701
"Cornelia, mother of the Gracchi",A4684
"Bulteel, Gislain",A4715
"Tünger, Augustin",A4718
"Bošković, Baro",A4734
"More, Thomas, Saint",A4725
"Halley, Edmond",A4710
"Sannazaro, Jacopo",A4732
"Gwinne, Matthew",A4723
"Fredegarius, Scholasticus",A4722
"Joachim, of Fiore, approximately 1132-1202",A4727
"Gregorius, Magister",A4698
"Henry VII, King of England, 1457-1509",A4735
"Giovanni, da Pian del Carpine, Archbishop of Antivari, -1252",A4726
"Leo, Archipresbyter, active 10th century",A4700
"Protospatharius, Lupus‏",A4737
"Stephanus, de Varda",A4702
"Galilei, Galileo",A4716
"Balde, Jakob",A4703
"Bacon, Francis",A4711
"Xylander, Wilhelm",A4714
"Porée, Charles",A4719
"Radegunda, Queen, consort of Clotaire I, King of the Franks",A4766
Rusticus Helpidius,A4740
"Albertano, da Brescia, active 13th century",A4755
"Bebel, Heinrich",A4745
"Rimbaud, Arthur",A4742
